time,mCS_cp_xx,mCS_cpvp_xx,mCS_vp_xx,mEE_cp_xx,mEE_cpvp_xx,mEE_vp_xx,mTE_cp_xx,mTE_cpvp_xx,mTE_vp_xx
0,0,0,0,0,0,0,0,0,0
267.81,354.18449609585,355.07694521732,356.41561873241,0.0017003136703614,0.0016828441945277,0.0016566399840487,0.0043907788045405,0.0069255951282127,0.010727819139034
365.02,362.46010719789,363.80087042292,365.81201500939,0.0017410521208735,0.0017241955446981,0.0016989106835917,0.0057212102117687,0.0094237075765763,0.014977452930432
598.99,379.69352372457,382.07372748226,385.64403267308,0.0018228389811792,0.0018108051421905,0.0017927543859611,0.0091748663990753,0.015404096836866,0.024747941327022
835.2,395.12237276398,398.47952203328,403.51524530854,0.0018948244599116,0.0018885622793597,0.0018791690097045,0.012998780019258,0.021401573332298,0.034005761728293
1083.7,410.00107426894,414.29124042332,420.72648885147,0.0019637934269356,0.0019635022124327,0.0019630653907328,0.017361816676402,0.027671333938632,0.043135607901346
1259.7,419.86670156739,424.75622128888,432.09049995548,0.0020093666593571,0.0020131007057081,0.0020187017745354,0.020640326857501,0.032089186220632,0.049262473121336
1524.3,433.83314635354,439.51782963316,448.04485348803,0.0020737271939026,0.0020830626012497,0.0020970657105223,0.025846921263755,0.038695470486344,0.057968291914119
1845.1,449.63479081548,456.11909113407,465.84554039766,0.0021463884122032,0.0021617431747566,0.0021847753157111,0.032543913465425,0.046650850267748,0.06781125282947
2172.9,464.77869918113,471.90159691419,482.5859421799,0.0022159273926669,0.0022365431974998,0.0022674669008885,0.039755782473969,0.054720535045109,0.077167661099416
2490,478.61190629222,486.16624013148,497.49773947569,0.0022793759344751,0.0023041494723453,0.0023413097745114,0.047068845562517,0.062463882724124,0.085556435583553
2842,493.24129261941,501.10899305799,512.91054224249,0.0023464804292515,0.0023749695448417,0.002417703212892,0.055450538085232,0.070995469978591,0.094312864907579
3249.7,509.46729487201,517.4926846387,529.53076778586,0.002420867122382,0.0024526188479214,0.0025002464302844,0.065450153126341,0.080792457540886,0.1038059112896
