Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g167),Error (g207),Error (g79),Error (g309),Error (g164),Error (curve),Reduced Error
10.607,120.94,396.76,1.0305,7.2561e-05,0.61347,0.24188,0.51421,0.26077,0.60691,0.21021,0.4079085488299247
8.1399,107.18,399.07,1.0303,7.1051e-05,0.61342,0.24209,0.51428,0.26085,0.607,0.22574,0.41056317595289676
8.1713,107.19,391.13,1.0347,6.9537e-05,0.6134,0.24211,0.51427,0.26087,0.60702,0.23047,0.4113551488880394
8.1846,106.97,398.55,1.0301,7.1413e-05,0.61342,0.24208,0.51427,0.26085,0.607,0.23902,0.41277471407785965
8.0096,107.52,398.11,1.0316,7.1403e-05,0.61342,0.2421,0.51428,0.26086,0.60701,0.24728,0.4141579798630264
9.8778,107.44,388.93,1.0314,6.9967e-05,0.61342,0.24196,0.51422,0.26082,0.60697,0.25007,0.41457515868339373
11.845,113.55,398.21,1.0008,6.9804e-05,0.61356,0.24158,0.51412,0.26061,0.60685,0.25242,0.41485662656341926
11.387,102.51,380.46,1.0312,7.0729e-05,0.61343,0.24185,0.51418,0.26077,0.60695,0.25971,0.41614710400865484
13.757,110.82,382.09,1.0347,7.5133e-05,0.61348,0.24172,0.51415,0.2607,0.60688,0.26802,0.417490414590685
8.2037,114.44,399.91,1.0276,7.1347e-05,0.61345,0.24205,0.51427,0.26083,0.60698,0.27562,0.41886394754743755
