Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g86),Error (g59),Error (curve),Error (g63),Error (g303),Error (g237),Reduced Error
0.010459,0.31101,2.8423,11.757,1.6015e-08,0.016814,0.032696,0.28882,0.28266,0.024459,0.032134,0.11292987947344002
0.010513,0.30783,2.8273,11.9,1.5845e-08,0.016827,0.03273,0.28979,0.28264,0.024474,0.032135,0.11309943125963491
0.010425,0.3098,2.7975,12.625,1.5273e-08,0.016913,0.032873,0.28995,0.28226,0.024526,0.032149,0.11311293997093796
0.010213,0.31262,2.8518,11.362,1.6622e-08,0.016792,0.032622,0.28995,0.28282,0.024423,0.032125,0.11312186864900237
0.012383,0.31055,2.9005,11.781,1.5596e-08,0.016652,0.03258,0.29203,0.28301,0.024478,0.032155,0.11348512973202952
0.013375,0.33817,2.9585,11.64,1.55e-08,0.016553,0.032446,0.29253,0.28304,0.024456,0.032181,0.11353418252402266
0.01118,0.31618,2.8506,11.624,1.5733e-08,0.016741,0.032629,0.29346,0.28287,0.024458,0.032142,0.11371593325024992
0.010698,0.33214,2.8256,11.846,1.5113e-08,0.016833,0.032713,0.29388,0.28252,0.02447,0.032151,0.11376207577270037
0.01024,0.39623,2.842,11.76,1.456e-08,0.016879,0.032668,0.29674,0.28205,0.024433,0.032182,0.114158658343537
0.010274,0.31077,2.8532,10.76,1.6429e-08,0.016739,0.032534,0.29765,0.28321,0.024388,0.03211,0.11443880471514066
