Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
362.16,133.35,62.542,15.827,6.018e-05,0.13076,0.01968,0.024524,0.035942,0.019076,0.31365,0.09060609465587995
359.76,142.32,62.341,15.828,6.0412e-05,0.13963,0.01968,0.024524,0.03596,0.019093,0.31364,0.09208700980479377
361.15,143.06,63.854,15.817,7.1137e-05,0.14439,0.019662,0.024532,0.035944,0.019106,0.31351,0.0928580559868536
359.53,139.63,62.251,15.809,6.0332e-05,0.14792,0.019681,0.024524,0.035956,0.019087,0.31364,0.09346737200662937
363.76,130.19,62.713,15.577,5.9756e-05,0.15158,0.019679,0.024519,0.035939,0.019059,0.31366,0.09407318782118879
347.56,146.29,64.007,15.471,7.1077e-05,0.15539,0.019674,0.024532,0.035984,0.019098,0.31316,0.09464004726023108
343.17,139.84,62.772,14.617,6.1957e-05,0.15556,0.019688,0.02451,0.036013,0.019043,0.31316,0.09466155115755741
338.14,143.61,64.141,14.69,7.0527e-05,0.15673,0.019681,0.024522,0.036018,0.019067,0.31289,0.09481836079548639
370.15,143.94,62.407,15.811,6.0344e-05,0.15616,0.019666,0.02452,0.035945,0.019097,0.31389,0.09487896504915568
337.78,133.2,63.532,15.498,6.0504e-05,0.15721,0.019709,0.02453,0.036001,0.019058,0.31288,0.0948985124448319
