param_type,param_name,out_u_bound,in_l_bound,in_u_bound,out_l_bound,base
input,cp_lh_0,1,-0.5619959085781894,2.899968159325789,0,10
input,cp_lh_1,1,-0.9681473686043709,2.900831220613281,0,10
input,cp_tau_0,1,0.5743901361875572,2.599063905879417,0,10
input,cp_n,1,0.12142851836796285,1.1960102865919497,0,10
input,cp_gamma_0,1,-9.972161321811054,-4.0095989807174535,0,10
input,average_strain,1,-2.0987651498123028,-0.5429056919961535,0,10
output,average_stress,1,1.9340892136882404,4.484541837687686,0,10
output,g59_phi_1,1,0.22577434814392972,0.2981322917796097,0,10
output,g59_Phi,1,0.34411706783031026,0.3652071002318231,0,10
output,g59_phi_2,1,0.6327305383985778,0.6543594655476564,0,10
output,g63_phi_1,1,0.2831202349597742,0.34941352681473165,0,10
output,g63_Phi,1,0.44589985871260024,0.48674209553398734,0,10
output,g63_phi_2,1,0.5806170988294279,0.6174197467371766,0,10
output,g86_phi_1,1,0.3124312555887251,0.3280124388555864,0,10
output,g86_Phi,1,0.24841469734872204,0.28571479658290966,0,10
output,g86_phi_2,1,0.5552879628878162,0.572964489481746,0,10
output,g237_phi_1,1,0.3329835108162261,0.3386158384905983,0,10
output,g237_Phi,1,0.3380179934708872,0.3685471975676564,0,10
output,g237_phi_2,1,0.609306206714763,0.6245914591268478,0,10
output,g303_phi_1,1,0.40162452381726443,0.42079710099984546,0,10
output,g303_Phi,1,0.3007476124662593,0.3260694665888942,0,10
output,g303_phi_2,1,0.6480671294489346,0.6711358010943602,0,10
