param_type,param_name,out_u_bound,in_u_bound,in_l_bound,base,out_l_bound
input,cp_lh_0,1,2.899968159325789,0.8709420500605297,10,0
input,cp_lh_1,1,2.900831220613281,1.237945676609235,10,0
input,cp_tau_0,1,2.599063905879417,0.9934185938153659,10,0
input,cp_n,1,1.1922328229242767,0.12142851836796285,10,0
input,cp_gamma_0,1,-4.0095989807174535,-5.587539452570038,10,0
input,average_strain,1,-0.5429056919961535,-2.0987651498123028,10,0
output,average_stress,1,3.550619653436924,1.9340892136882404,10,0
output,g59_phi_1,1,0.2981322917796097,0.22685757028872347,10,0
output,g59_Phi,1,0.3652071002318231,0.34411706783031026,10,0
output,g59_phi_2,1,0.6543594655476564,0.6327406553278637,10,0
output,g63_phi_1,1,0.34941352681473165,0.2831202349597742,10,0
output,g63_Phi,1,0.48672793598906966,0.44589985871260024,10,0
output,g63_phi_2,1,0.6174197467371766,0.5806170988294279,10,0
output,g86_phi_1,1,0.3280124388555864,0.3124312555887251,10,0
output,g86_Phi,1,0.2856473089007293,0.24841469734872204,10,0
output,g86_phi_2,1,0.572952879657996,0.5552879628878162,10,0
output,g237_phi_1,1,0.3386158384905983,0.3329835108162261,10,0
output,g237_Phi,1,0.3685471975676564,0.3380179934708872,10,0
output,g237_phi_2,1,0.6245914591268478,0.609306206714763,10,0
output,g303_phi_1,1,0.42079710099984546,0.40162452381726443,10,0
output,g303_Phi,1,0.3260694665888942,0.3007910679877988,10,0
output,g303_phi_2,1,0.6711358010943602,0.6480671294489346,10,0
