Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
62.87,3.6693,14.528,5.2122,7.928e-08,0.28525,0.045877,0.028375,0.030168,0.33426,0.018627,0.1237595764059919
245.13,594.58,55.943,3.8753,2.1823e-05,0.29939,0.056777,0.026977,0.033369,0.35201,0.022236,0.1317926306673676
59.262,3.7196,14.997,5.2126,8.0364e-08,0.28503,0.04625,0.028295,0.030254,0.38648,0.018725,0.13250487355504711
60.665,3.4673,14.464,5.2019,8.3575e-08,0.28525,0.045962,0.028362,0.030196,0.39384,0.018643,0.13370867004879347
62.146,3.5703,14.081,5.2136,7.9373e-08,0.28538,0.045819,0.028393,0.030148,0.39408,0.018618,0.13373993552338156
46.773,0.19087,9.2405,5.3679,7.3464e-09,0.28907,0.045855,0.028235,0.029937,0.39065,0.018833,0.13376227457787812
243.46,711.2,56.372,3.8284,2.2568e-05,0.3003,0.057638,0.026976,0.033715,0.36296,0.022782,0.134060907112086
244.82,713.39,56.022,5.0974,2.3728e-05,0.29017,0.051833,0.027625,0.032601,0.38472,0.021922,0.1348116845850081
32.887,0.12091,8.2687,5.2046,4.1297e-09,0.28892,0.048526,0.027849,0.030399,0.39861,0.019415,0.13561974367275517
247.4,724.33,55.965,3.8412,2.1915e-05,0.30021,0.057519,0.026964,0.033675,0.38235,0.022727,0.13724156036410196
