Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
83.99,6.1674,47.796,13.845,3.2362e-05,0.11981,0.053888,0.068252,0.070705,0.18817,0.070694,0.5715202946054084
84.303,6.1674,47.796,13.845,3.3868e-05,0.11996,0.053892,0.068182,0.070751,0.1923,0.070618,0.5757014598003776
85.94,6.1775,47.814,13.845,3.3539e-05,0.12014,0.053935,0.068097,0.070617,0.19762,0.070818,0.5812305086622329
84.562,6.1263,47.921,13.838,3.2706e-05,0.11987,0.05391,0.068245,0.070595,0.19965,0.070772,0.5830399542102662
80.103,5.8906,47.14,13.861,3.2078e-05,0.11942,0.053837,0.068583,0.070548,0.20243,0.07067,0.585486550635203
84.799,6.0958,47.842,13.842,3.2614e-05,0.11991,0.053922,0.068244,0.07052,0.20353,0.070853,0.5869763581063552
81.999,6.156,47.564,13.845,3.2596e-05,0.11964,0.053836,0.06834,0.070876,0.20446,0.07048,0.5876239748575377
82.548,6.238,47.809,13.87,3.3937e-05,0.11974,0.053834,0.068242,0.071021,0.20466,0.070317,0.5878178973789091
86.318,6.3167,47.727,13.006,3.262e-05,0.12019,0.053931,0.068081,0.070857,0.20576,0.070965,0.589779440454779
86.842,6.7551,48.519,14.303,3.2756e-05,0.12008,0.053871,0.067814,0.07142,0.21021,0.07014,0.5935414115983022
