iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,83.99,6.1674,47.796,13.845,3.2362e-05,0.4656545375531933,0.07189657609095976,0.48853992850571093
2,226.28,0.07443,57.829,14.074,3.1666e-05,0.10054245110626588,0.07332677205826009,0.1238830875743554
3,313.01,4.6363,64.219,15.739,4.7744e-05,0.09592316486296006,0.07364513531921471,0.11936513950440916
4,275.74,0.060354,64.129,14.575,4.7301e-05,0.021680634968556312,0.07341623774628514,0.04504974924961845
5,267.61,0.11307,62.364,15.043,5.3439e-05,0.02415764482557135,0.07346153090154627,0.04754117636572956
6,222.09,414.08,62.556,13.728,5.46e-05,0.025607776473816533,0.07410316049472519,0.04919554505675168
7,239.74,247.89,64.463,15.775,4.9311e-05,0.036590701175451885,0.07365486196496276,0.060035771904402
8,208.0,484.22,63.669,14.118,5.4619e-05,0.021671198101920232,0.07429240353253287,0.045319204614681016
9,206.6,511.04,63.66,15.163,5.7604e-05,0.0267797551837321,0.07437264433737331,0.05045330313794895
10,280.74,0.00059503,47.098,14.425,4.8369e-05,0.12642077106449212,0.07395511701045399,0.14996141594279866
11,234.77,335.07,62.782,15.968,3.6281e-05,0.05493559963543683,0.07387739682646946,0.07845150541082506
12,191.9,506.57,61.692,10.739,3.2546e-05,0.01660937855905876,0.07456108490941935,0.04034290901031598
