Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
244.51,110.16,65.529,15.838,5.7018e-05,0.073189,0.079096,0.057761,0.19457,0.062017,0.13183,0.5984613262963792
246.65,108.85,65.246,15.836,5.701e-05,0.073298,0.078928,0.057806,0.19704,0.061971,0.13195,0.6009928665948886
244.23,110.16,65.453,15.838,5.3814e-05,0.073128,0.079212,0.057781,0.20261,0.061994,0.13184,0.606563487005418
237.51,152.4,65.502,15.896,5.3578e-05,0.072444,0.08117,0.056974,0.20641,0.062497,0.131,0.6104903866123648
238.27,137.23,65.633,15.84,5.377e-05,0.072607,0.08058,0.057225,0.20933,0.062358,0.13121,0.6133126393173812
248.47,111.19,64.321,15.844,5.7016e-05,0.073424,0.078886,0.057774,0.2127,0.061969,0.13207,0.6168264572176002
258.93,59.267,64.649,15.996,5.7135e-05,0.074162,0.076343,0.05889,0.21374,0.061389,0.13321,0.6177322238668058
257.93,55.255,64.952,15.996,5.7055e-05,0.074121,0.076266,0.058932,0.21424,0.061414,0.13319,0.618162420873297
257.79,59.182,64.549,15.977,5.6992e-05,0.07414,0.076373,0.058882,0.21553,0.061405,0.13318,0.6195166409328113
255.38,51.688,65.654,15.996,5.6793e-05,0.073973,0.076303,0.058959,0.21747,0.061462,0.13307,0.6212357580747573
