Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
447.61,0.55455,95.569,10.085,4.8432e-06,0.065548,0.089484,0.055006,0.12723,0.065378,0.24586,0.6485059564162896
442.74,0.55543,96.562,10.266,4.7181e-06,0.06553,0.089354,0.055009,0.12705,0.065455,0.25267,0.6550623999528021
441.82,0.55548,96.929,10.421,4.5495e-06,0.06548,0.089238,0.05502,0.12698,0.065552,0.2569,0.6591657816464577
464.97,0.50536,96.599,10.444,4.0525e-06,0.06561,0.089402,0.054739,0.12663,0.065571,0.25807,0.6600282940505173
465.14,0.50747,96.731,10.427,4.0549e-06,0.065601,0.089432,0.05475,0.12666,0.065539,0.25835,0.660323530279427
464.03,0.50747,96.733,10.403,4.0541e-06,0.065616,0.089449,0.054743,0.12664,0.065518,0.25851,0.660476742326046
464.05,0.50754,96.671,10.42,4.0544e-06,0.06561,0.089428,0.054746,0.12665,0.065539,0.25856,0.6605340524872032
471.77,0.50345,96.557,10.383,4.122e-06,0.06559,0.089505,0.054719,0.12671,0.065507,0.25856,0.6605843852071724
464.17,0.50835,96.727,10.409,4.0508e-06,0.065607,0.089446,0.054751,0.12666,0.065521,0.25881,0.6607920927304252
484.34,0.52042,98.256,10.484,6.0712e-06,0.065417,0.08918,0.05475,0.12701,0.065873,0.25955,0.6617780639389103
