iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29532469434317127,0.0887186474364685,0.32356471691105343
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.05188826520817084,0.0840871180641096,0.07865402618868053
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16557680884181267,0.07799641283440664,0.1904038381338766
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16122139100698138,0.07389230865591041,0.18474204336510175
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19871655512254738,0.07236870075081511,0.22175222802180813
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.021717589345265124,0.07310080889093348,0.044986299503281195
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04638047860410652,0.0730316360709928,0.06962717036968026
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03200567743806397,0.07327440914945538,0.05532964627461162
9,494.02,0.50636,99.313,12.387,4.517e-06,0.024431904318742852,0.07329814073546187,0.04776342715373119
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.01849985518995814,0.07314466562445911,0.04178252537983114
11,455.66,0.58146,102.25,13.326,8.357e-06,0.018883019467051454,0.0732276307348097,0.04219209827175738
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.019158605686764887,0.07323732971516973,0.04247077177280532
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.023464752205343588,0.07321014555678848,0.046768265305023676
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.0576001963110583,0.07325731854928026,0.0809187250406094
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.016558047876254006,0.0732478457166326,0.03987356130952319
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.016156636732916094,0.07315519161376138,0.03944265744924588
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.015875186805373472,0.07316168115990909,0.03916327320839892
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.016694983032384987,0.07317234333811064,0.03998646331214024
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04362533029960481,0.07305999783907463,0.06688104989634865
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.017150223323553444,0.07324923029488475,0.04046617748176848
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.020463052620646332,0.07319128528861382,0.04376056231051035
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.021738954780885125,0.07322324924826112,0.04504663891510646
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.022672322804127277,0.07330645541082517,0.046006492282484164
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.019516553129216352,0.07309272927618038,0.042782691465979954
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.01600234816131528,0.07325852970935384,0.039321262415091554
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.018656535791347115,0.07325880779499849,0.041975538562533284
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.0197313241538268,0.07320991934685213,0.0430347652486478
28,443.43,0.52069,103.03,15.98,2.5105e-06,0.015656957854487452,0.07315492380411454,0.03894289332435903
29,479.36,0.50002,100.61,15.499,2.7227e-06,0.019716504987631108,0.07327686936499352,0.04304125693510669
