param_type,param_name,out_u_bound,in_l_bound,base,in_u_bound,out_l_bound
input,cp_tau_s,1,1.185740417574962,10,2.9000228343286185,0
input,cp_b,1,-0.2973196437541696,10,0.9013547758643957,0
input,cp_tau_0,1,0.8412593333822638,10,2.6000794422615208,0
input,cp_n,1,0.07236020396348845,10,1.2001388538573805,0
input,cp_gamma_0,1,-4.910660192228968,10,-4.007884089684835,0
input,average_strain,1,-2.17752462213821,10,-0.5436339668709569,0
output,average_stress,1,1.8257959869112332,10,3.4327128051253863,0
output,g59_phi_1,1,0.22357381105468752,10,0.2833238476187862,0
output,g59_Phi,1,0.34382201076216146,10,0.36406296070307775,0
output,g59_phi_2,1,0.6327608884794388,10,0.6505212172741978,0
output,g63_phi_1,1,0.2765077588298558,10,0.3423634548091722,0
output,g63_Phi,1,0.4405942618398309,10,0.4866571313388806,0
output,g63_phi_2,1,0.5794062822881072,10,0.6140847897401536,0
output,g86_phi_1,1,0.3125581495215206,10,0.3269909055203603,0
output,g86_Phi,1,0.25285303097989315,10,0.2856923018540878,0
output,g86_phi_2,1,0.5568691265406007,10,0.5728716022004802,0
output,g237_phi_1,1,0.3327413504185743,10,0.3368998093595339,0
output,g237_Phi,1,0.33557824276244996,10,0.36255786655448896,0
output,g237_phi_2,1,0.6079051693086186,10,0.6224005533247965,0
output,g303_phi_1,1,0.4005379893919462,10,0.4183344423049837,0
output,g303_Phi,1,0.3008779659885696,10,0.3240147980362876,0
output,g303_phi_2,1,0.6467075280415755,10,0.6685909000368334,0
