param_type,param_name,out_u_bound,base,out_l_bound,in_u_bound,in_l_bound
input,cp_tau_s,1,10,0,3.2902127469195284,2.354991502978481
input,cp_b,1,10,0,1.2956770340174648,0.4670454519877563
input,cp_tau_0,1,10,0,2.6912848818232695,1.8032112189832223
input,cp_n,1,10,0,1.2636834005571924,0.4239827296771757
input,average_strain,1,10,0,-0.5461162220128769,-2.1224501347392706
output,average_stress,1,10,0,3.725985096952106,2.7655791538978405
output,g59_phi_1,1,10,0,0.2822821563190965,0.22690908496548198
output,g59_Phi,1,10,0,0.3613500243522663,0.3409197934001626
output,g59_phi_2,1,10,0,0.6483502514447138,0.6327608884794388
output,g63_phi_1,1,10,0,0.3242824552976926,0.269956351932952
output,g63_Phi,1,10,0,0.4866712931924322,0.4418678766638016
output,g63_phi_2,1,10,0,0.6051649285461197,0.5750376639569877
output,g86_phi_1,1,10,0,0.32586443661534614,0.31251585566338685
output,g86_Phi,1,10,0,0.2855123020662439,0.25503116334555137
output,g86_phi_2,1,10,0,0.5728948258833766,0.558180377720982
output,g237_phi_1,1,10,0,0.33639968898608347,0.33481551250621205
output,g237_Phi,1,10,0,0.3610097126081429,0.3397693437687301
output,g237_phi_2,1,10,0,0.6215916758592177,0.612932127083471
output,g303_phi_1,1,10,0,0.41617434745708776,0.40329214515825423
output,g303_Phi,1,10,0,0.32145343433334456,0.30085624311839365
output,g303_phi_2,1,10,0,0.6659372852220151,0.6501714811836143
