iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,906.41,0.013453,2.6023,17.086,1.0001661088667622,0.074772059649544,1.023966794663536
2,773.15,0.09596,272.48,8.6326,0.36811653224190777,0.07213738360746137,0.39107857460759526
3,1841.2,0.0055011,170.44,2.2559,0.4526584117906687,0.09993331948066979,0.48446817534052905
4,163.09,1.209,314.81,1.0932,0.23321813678839204,0.13294746729744358,0.2755366299722645
5,411.51,0.1197,202.38,7.2882,0.2286065461529632,0.07273685957069734,0.25175940764427823
6,317.13,0.67955,111.46,1.9519,0.3231126266511645,0.10551651410541758,0.35669957624657034
7,679.36,0.40798,93.727,4.4132,0.14703871698028878,0.07636376101873307,0.1713460570587279
8,900.17,0.32849,124.97,3.8274,0.023211630350345052,0.0788585759062977,0.04831309467169449
9,633.72,0.36518,136.36,3.8487,0.0774784090742994,0.07878265518452895,0.10255570707934364
10,915.63,0.29241,122.27,4.2704,0.029789992340706447,0.07692485943163788,0.0542759355910952
11,1065.0,0.27625,119.99,3.545,0.01820750134073685,0.08056024447778276,0.04385062359139823
12,894.18,0.33198,122.79,3.8655,0.019948930454627405,0.0786178082130722,0.0449737560389495
13,893.7,0.31684,123.35,3.8213,0.017346152223556097,0.07884389412982437,0.042442943190307336
14,1050.7,0.26833,115.21,4.912,0.021151827602798684,0.07536646639130848,0.04514171894189058
15,960.25,0.29381,123.12,4.2143,0.012977623985198685,0.07713078651280562,0.0375291158613561
16,1094.4,0.25538,124.78,4.6009,0.016769516029494023,0.07598919202452223,0.04095762709401791
