Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1153.0,0.22614,125.12,4.413,0.2058,0.069892,0.13541,0.055693,0.054914,0.10804,0.629745709594455
1159.3,0.23214,122.46,4.6303,0.21657,0.069424,0.13474,0.055362,0.055524,0.10558,0.6372007667049283
1154.0,0.22809,125.52,4.6156,0.21879,0.069516,0.13466,0.055385,0.055436,0.10591,0.6396992072868044
1153.0,0.23196,123.92,4.6486,0.22014,0.069431,0.1346,0.055338,0.05556,0.10546,0.6405385912113187
1156.8,0.22458,124.87,4.4343,0.21705,0.069849,0.13535,0.055659,0.054964,0.10782,0.6406898276461408
1172.2,0.22487,126.49,4.1823,0.21501,0.07036,0.1367,0.056508,0.05441,0.1115,0.6444843326039433
1151.9,0.22947,122.44,5.0479,0.22939,0.068928,0.13358,0.055003,0.056606,0.10235,0.6458506036690767
1155.8,0.22618,125.41,4.7024,0.22606,0.069422,0.1344,0.055291,0.055644,0.10519,0.6460005107982034
1152.9,0.2246,127.96,4.4225,0.22212,0.069918,0.13535,0.05574,0.054895,0.10822,0.6462456494245312
1153.8,0.22968,126.03,4.5305,0.22631,0.069659,0.13496,0.055523,0.055207,0.10679,0.6484445292035829
