param_type,param_name,out_u_bound,in_u_bound,base,in_l_bound,out_l_bound
input,cp_tau_s,1,3.300964846605394,10,2.057970231710705,0
input,cp_b,1,1.2949509544652678,10,-3.0947547547312415,0
input,cp_tau_0,1,2.690780654501487,10,0.9713036872357208,0
input,cp_n,1,1.3005085293432912,10,0.08965788162152936,0
input,average_strain,1,-0.5442874184602629,10,-2.1558708963330973,0
output,average_stress,1,3.8268519478206438,10,2.4409248170874798,0
output,g59_phi_1,1,0.28289388665533155,10,0.22502482910913,0
output,g59_Phi,1,0.36528202057218295,10,0.3330036847556981,0
output,g59_phi_2,1,0.6497241859295223,10,0.6327710047017497,0
output,g63_phi_1,1,0.3378584290410943,10,0.2676644317388589,0
output,g63_Phi,1,0.4866571313388806,10,0.4424013694827023,0
output,g63_phi_2,1,0.611670212526879,10,0.5752802381801961,0
output,g86_phi_1,1,0.3272362927470996,10,0.3125370031073033,0
output,g86_Phi,1,0.28566980596006797,10,0.25275597108857323,0
output,g86_phi_2,1,0.5728832141971627,10,0.5568570783672155,0
output,g237_phi_1,1,0.3371596445268558,10,0.33282208555509957,0
output,g237_Phi,1,0.3643445860821854,10,0.3367798329836422,0
output,g237_phi_2,1,0.623238949929992,10,0.6083762510332354,0
output,g303_phi_1,1,0.41962536088774316,10,0.401176442169203,0
output,g303_Phi,1,0.3253719693967049,10,0.3008779659885696,0
output,g303_phi_2,1,0.6700323652879175,10,0.647353624901466,0
