Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1978.3,0.1223,123.82,6.8861,0.060269,0.095354,0.1269,0.068728,0.20181,0.054418,0.6074774855028146
1982.0,0.12225,123.82,6.8859,0.060264,0.095366,0.12691,0.068726,0.20182,0.054421,0.6075086598459762
1982.0,0.1227,123.68,6.9258,0.060423,0.095145,0.12696,0.068662,0.20259,0.054433,0.6082156155254504
1978.3,0.12354,123.01,6.9213,0.060446,0.095109,0.127,0.068652,0.20263,0.054429,0.608272441236982
1971.9,0.12216,123.71,6.8985,0.060313,0.095282,0.12688,0.068718,0.20315,0.054416,0.6087584783386883
1984.8,0.1227,123.15,6.8262,0.060074,0.095643,0.12693,0.068792,0.20396,0.054407,0.6098090871347253
1982.3,0.1218,123.59,6.8838,0.060245,0.09539,0.12689,0.068738,0.20532,0.054416,0.6110043091891049
1986.0,0.1217,124.02,7.0416,0.060802,0.094626,0.12705,0.068526,0.20861,0.054474,0.6140865369261156
1981.6,0.12301,124.12,6.863,0.060202,0.09546,0.12693,0.06874,0.20943,0.054422,0.6151896767415098
1978.0,0.12232,123.32,6.8142,0.060021,0.095708,0.12687,0.068822,0.21124,0.054398,0.6170639258053603
