Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
832.56,0.17844,123.4,12.984,0.064392,0.12631,0.068175,0.14091,0.055612,0.085581,0.540978706834546
839.44,0.1792,123.28,12.977,0.064339,0.12634,0.068177,0.14213,0.055629,0.085567,0.5421817185834736
832.15,0.18442,123.46,12.986,0.06431,0.12642,0.068188,0.14224,0.055635,0.085581,0.5423777347022807
803.75,0.19698,125.7,12.977,0.064322,0.12636,0.068097,0.14252,0.055639,0.085672,0.5426162691023901
846.55,0.1804,120.98,12.913,0.064342,0.12657,0.0683,0.14253,0.055585,0.085513,0.5428389902498076
843.18,0.18242,121.37,12.912,0.064331,0.12656,0.068283,0.14293,0.055592,0.085529,0.5432256382077172
854.77,0.16658,123.23,12.992,0.064405,0.1261,0.068121,0.14499,0.055627,0.085554,0.544794892856275
844.87,0.18236,120.88,12.912,0.064329,0.12661,0.068314,0.14511,0.055585,0.085512,0.5454592650536818
841.57,0.182,121.82,12.832,0.064385,0.12646,0.068225,0.14525,0.055575,0.085563,0.545460832521443
835.25,0.17579,123.32,12.99,0.06441,0.12627,0.068174,0.14641,0.055609,0.085573,0.5464426292983036
