param_type,param_name,in_l_bound,base,in_u_bound,out_l_bound,out_u_bound
input,cp_tau_s,2.1529912100386186,10,3.2823274992385256,0,1
input,cp_b,0.18044129819471869,10,1.2969940766702084,0,1
input,cp_tau_0,1.1636085634310516,10,2.6789824709969245,0,1
input,cp_n,0.3991196860279334,10,1.2623324138226262,0,1
input,average_strain,-2.1303811091736473,10,-0.543983365182255,0,1
output,average_stress,2.4254037821486105,10,3.7871060930365696,0,1
output,g59_phi_1,0.22696059353245251,10,0.2811243094492751,0,1
output,g59_Phi,0.3369797752006553,10,0.3642882756144368,0,1
output,g59_phi_2,0.6328013519549085,10,0.6512489308045952,0,1
output,g63_phi_1,0.26951294421791633,10,0.32582341900274453,0,1
output,g63_Phi,0.4415537509534569,10,0.48664296902351173,0,1
output,g63_phi_2,0.5751416409293298,10,0.6051541483968904,0,1
output,g86_phi_1,0.3126004392612593,10,0.3269704503249203,0,1
output,g86_Phi,0.25333800532610634,10,0.28548979684629316,0,1
output,g86_phi_2,0.5571220610029944,10,0.5728716022004802,0,1
output,g237_phi_1,0.3348958630118813,10,0.33683982531460943,0,1
output,g237_Phi,0.3397494816808758,10,0.36353677087266406,0,1
output,g237_phi_2,0.6129215380217736,10,0.6226801987325815,0,1
output,g303_phi_1,0.40330930382686836,10,0.41864925051960217,0,1
output,g303_Phi,0.3008779659885696,10,0.3244882333076564,0,1
output,g303_phi_2,0.6501617622707248,10,0.6689168106400766,0,1
