param_type,param_name,in_u_bound,out_l_bound,in_l_bound,base,out_u_bound
input,cp_tau_s,3.287420995759831,0,1.9577796299419232,10,1
input,cp_b,1.2990494465975395,0,-1.9943905546397196,10,1
input,cp_tau_0,2.6933311562440196,0,0.9717952066838847,10,1
input,cp_n,1.2740423300498311,0,0.04182676263754366,10,1
input,average_strain,-0.5435580478983131,0,-2.263978188496729,10,1
output,average_stress,3.6010817277840226,0,1.7536979364182168,10,1
output,g59_phi_1,0.28137430235504685,0,0.22180531799654885,10,1
output,g59_Phi,0.3630475945210934,0,0.34030527706242714,10,1
output,g59_phi_2,0.6489744200379658,0,0.6327406553278637,10,1
output,g63_phi_1,0.3400473176613932,0,0.27016622926069367,10,1
output,g63_Phi,0.4866854545841969,0,0.44532392286251204,10,1
output,g63_phi_2,0.6124129591954145,0,0.5752802381801961,10,1
output,g86_phi_1,0.326806774068438,0,0.31247355768605584,10,1
output,g86_Phi,0.2858047638486316,0,0.25343493524100563,10,1
output,g86_phi_2,0.5729180483244647,0,0.5571702222985141,10,1
output,g237_phi_1,0.3365197704104162,0,0.3322364154914433,10,1
output,g237_Phi,0.36255786655448896,0,0.3350364406355139,10,1
output,g237_phi_2,0.6218925883173538,0,0.6073692281764789,10,1
output,g303_phi_1,0.41830129131974547,0,0.39996776558858704,10,1
output,g303_Phi,0.3244882333076564,0,0.3008345191616123,10,1
output,g303_phi_2,0.6685256885568623,0,0.6460997117374419,10,1
