param_type,param_name,in_l_bound,base,out_l_bound,out_u_bound,in_u_bound
input,cp_tau_s,2.029464946638236,10,0,1,3.274804189634561
input,cp_b,-1.4986120587943834,10,0,1,1.2976073323822397
input,cp_tau_0,1.109105863755288,10,0,1,2.675750853811681
input,cp_n,0.5045116394046318,10,0,1,1.3008779659885694
input,average_strain,-2.0795688096045377,10,0,1,-0.5436339668709569
output,average_stress,1.6118082472765158,10,0,1,3.78843000072047
output,g59_phi_1,0.22696059353245251,10,0,1,0.282463499599315
output,g59_Phi,0.3484995702838377,10,0,1,0.36516963521438245
output,g59_phi_2,0.6328013519549085,10,0,1,0.6518399066003462
output,g63_phi_1,0.28082867763973174,10,0,1,0.319522449065454
output,g63_Phi,0.448226940521222,10,0,1,0.48664296902351173
output,g63_phi_2,0.580057801286702,10,0,1,0.605024765730024
output,g86_phi_1,0.3125792949061393,10,0,1,0.32705226532669823
output,g86_Phi,0.25253750699000405,10,0,1,0.28539976430243025
output,g86_phi_2,0.5568088823309989,10,0,1,0.5728599898933121
output,g237_phi_1,0.3348757767791047,10,0,1,0.3373793836958193
output,g237_Phi,0.3397892049482503,10,0,1,0.36398782974849136
output,g237_phi_2,0.6129638927195424,10,0,1,0.6230941575218436
output,g303_phi_1,0.4033264618175825,10,0,1,0.4201208480857029
output,g303_Phi,0.300899687772249,10,0,1,0.3261719452891746
output,g303_phi_2,0.6502200724858908,10,0,1,0.6705705245660778
