param_type,param_name,in_u_bound,out_u_bound,out_l_bound,in_l_bound,base
input,cp_tau_s,3.267711326726692,1,0,1.539665636066127,10
input,cp_b,1.2578704858232146,1,0,-1.6012789639744667,10
input,cp_tau_0,2.6819283265031357,1,0,0.5804231384118452,10
input,cp_n,1.2938926670530086,1,0,0.4376713047707285,10
input,average_strain,-0.5446677846513543,1,0,-2.5189588852783014,10
output,average_stress,3.775246259740236,1,0,1.8397482189318772,10
output,g59_phi_1,0.28307497473547155,1,0,0.22690908496548198,10
output,g59_Phi,0.3639314730018367,1,0,0.3405036031604501,10
output,g59_phi_2,0.6497241859295223,1,0,0.6327710047017497,10
output,g63_phi_1,0.32085221983175444,1,0,0.270562387697326,10
output,g63_Phi,0.4866712931924322,1,0,0.4443259027880532,10
output,g63_phi_2,0.6051325872956373,1,0,0.5756149990440086,10
output,g86_phi_1,0.3272771771417547,1,0,0.3125370031073033,10
output,g86_Phi,0.28548979684629316,1,0,0.252416090544274,10
output,g86_phi_2,0.5728948258833766,1,0,0.5571581824753314,10
output,g237_phi_1,0.33675983369824786,1,0,0.33485568961729145,10
output,g237_Phi,0.3617278360175928,1,0,0.3398090652195195,10
output,g237_phi_2,0.6224419936379867,1,0,0.6129427158869898,10
output,g303_phi_1,0.41627428099123603,1,0,0.40330930382686836,10
output,g303_Phi,0.32257072423127603,1,0,0.3008345191616123,10
output,g303_phi_2,0.6662651925380558,1,0,0.6502103546603591,10
