param_type,param_name,base,out_l_bound,out_u_bound,in_l_bound,in_u_bound
input,cp_tau_s,10,0,1,2.080085085045869,3.3010082803969993
input,cp_b,10,0,1,-1.6658077084751262,1.2992457280349394
input,cp_tau_0,10,0,1,0.3736842129970154,2.6853027450606763
input,cp_n,10,0,1,0.12251077061032008,1.2728159335430955
input,average_strain,10,0,1,-2.2290302295496764,-0.5436947116059191
output,average_stress,10,0,1,0.8272141401777683,3.8006895904199807
output,g59_phi_1,10,0,1,0.22688332839091682,0.2846562827885157
output,g59_Phi,10,0,1,0.3354980184190237,0.36336750294348624
output,g59_phi_2,10,0,1,0.6327710047017497,0.6508318575355732
output,g63_phi_1,10,0,1,0.26726561976256297,0.3666657206861559
output,g63_Phi,10,0,1,0.4375603191952811,0.4866571313388806
output,g63_phi_2,10,0,1,0.5743554199391019,0.6259603218029635
output,g86_phi_1,10,0,1,0.3125370031073033,0.3269499941659988
output,g86_Phi,10,0,1,0.252634615712395,0.2856023112856134
output,g86_phi_2,10,0,1,0.556796832486183,0.5728832141971627
output,g237_phi_1,10,0,1,0.33417217272460575,0.33663981864168924
output,g237_Phi,10,0,1,0.33869548901478364,0.3624447739410545
output,g237_phi_2,10,0,1,0.610819800835439,0.6220792567541132
output,g303_phi_1,10,0,1,0.4007624176069357,0.4184338800803244
output,g303_Phi,10,0,1,0.30085624311839365,0.32442651014173257
output,g303_phi_2,10,0,1,0.6476958624061824,0.6686840423113884
