param_type,param_name,in_l_bound,out_l_bound,base,out_u_bound,in_u_bound
input,cp_tau_s,1.925523513589398,0,10,1,3.29185704623146
input,cp_b,-2.3585655529035634,0,10,1,1.2695596400388207
input,cp_tau_0,1.408833321776418,0,10,1,2.6962078118889146
input,cp_n,0.18960259252158113,0,10,1,1.301029995663981
input,average_strain,-2.1631633901080893,0,10,1,-0.5435884138948227
output,average_stress,2.0074917332953355,0,10,1,3.6721810127474708
output,g59_phi_1,0.22693484001260017,0,10,1,0.28357257796692453
output,g59_Phi,0.34184982408475223,0,10,1,0.36492603378997557
output,g59_phi_2,0.6328013519549085,0,10,1,0.651278013998144
output,g63_phi_1,0.2612628687924935,0,10,1,0.33953093874065554
output,g63_Phi,0.43054265440069756,0,10,1,0.4866288062462957
output,g63_phi_2,0.5749914439774946,0,10,1,0.6121478383264869
output,g86_phi_1,0.3126004392612593,0,10,1,0.32660209196364864
output,g86_Phi,0.2532410537726502,0,10,1,0.28548979684629316
output,g86_phi_2,0.5569414085627211,0,10,1,0.5728483772756421
output,g237_phi_1,0.3337696008734745,0,10,1,0.33739935447189734
output,g237_Phi,0.33857600774980795,0,10,1,0.3639314730018367
output,g237_phi_2,0.6097437723029848,0,10,1,0.6230734689508648
output,g303_phi_1,0.4027942486409029,0,10,1,0.41967493505387227
output,g303_Phi,0.3009214084695404,0,10,1,0.3253719693967049
output,g303_phi_2,0.6497436431317344,0,10,1,0.6700416495481264
