param_type,param_name,base,out_u_bound,in_l_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,1,1.2977605110991337,3.300595483889963,0
input,cp_b,10,1,-2.11896360323923,1.1942367487238292,0
input,cp_tau_0,10,1,1.3874966069355634,2.6849978763116344,0
input,cp_n,10,1,0.0002604985473903181,1.3007476124662591,0
input,average_strain,10,1,-2.1772371353714233,-0.542632903465209,0
output,average_stress,10,1,1.961164713465573,3.597420923534393,0
output,g59_phi_1,10,1,0.21950593747285682,0.28053284445138243,0
output,g59_Phi,10,1,0.33057609608772903,0.3661800579891144,0
output,g59_phi_2,10,1,0.6327406553278637,0.6491400641442189,0
output,g63_phi_1,10,1,0.2660669817434102,0.34401873774591274,0
output,g63_Phi,10,1,0.4405627672619206,0.4866571313388806,0
output,g63_phi_2,10,1,0.5745983754210157,0.6152975942927035,0
output,g86_phi_1,10,1,0.31251585566338685,0.32565930980164065,0
output,g86_Phi,10,1,0.25408864691907407,0.28659118343732626,0
output,g86_phi_2,10,1,0.5576755937084334,0.5728832141971627,0
output,g237_phi_1,10,1,0.33154876050752363,0.3372195844181804,0
output,g237_Phi,10,1,0.3340715647407651,0.36543182249042006,0
output,g237_phi_2,10,1,0.6068111469189633,0.6234043678792495,0
output,g303_phi_1,10,1,0.39903305410689777,0.42084654160119706,0
output,g303_Phi,10,1,0.30085624311839365,0.32688861990743706,0
output,g303_phi_2,10,1,0.6451175668065426,0.6713672594079829,0
