Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1997.5,0.11534,124.53,19.287,0.13009,0.2439,0.055888,0.083991,0.071491,0.062202,0.6475690334084688
1997.5,0.11552,124.4,19.298,0.13013,0.24395,0.055892,0.083973,0.071514,0.062202,0.6476635778628013
1997.5,0.11552,124.27,19.262,0.1301,0.24408,0.05588,0.083962,0.071529,0.062205,0.6477628625189957
2000.0,0.11387,124.46,19.034,0.12974,0.24452,0.055801,0.084054,0.071432,0.062225,0.6477636843994186
1997.3,0.11528,124.5,19.224,0.13001,0.24422,0.055866,0.083992,0.071493,0.062204,0.64779150844331
1997.3,0.11533,124.33,19.271,0.1301,0.24421,0.055881,0.083973,0.071515,0.062207,0.6478848101019143
1996.9,0.11557,124.33,19.313,0.13016,0.2443,0.055896,0.083964,0.071524,0.062204,0.6480426896819105
1999.1,0.11499,124.92,19.261,0.13,0.24459,0.055881,0.084043,0.071429,0.062199,0.6481488901958707
1999.7,0.11501,124.92,19.258,0.13,0.24464,0.055881,0.084043,0.071429,0.062198,0.6482001895936681
1997.3,0.11533,124.26,19.27,0.13011,0.24453,0.055881,0.083967,0.071524,0.062208,0.648212416132833
