param_type,param_name,in_u_bound,in_l_bound,out_l_bound,base,out_u_bound
input,cp_tau_s,3.2886962605902554,1.886772643054438,0,10,1
input,cp_b,1.2930751401228637,-0.6522602820799477,0,10,1
input,cp_tau_0,2.6654590337604147,1.5718950844037596,0,10,1
input,cp_n,1.2686949535621777,0.326806774068438,0,10,1
input,average_strain,-0.5435580478983131,-2.1727729299658245,0,10,1
output,average_stress,3.681639158298093,2.5010729621430503,0,10,1
output,g59_phi_1,0.2833238476187862,0.22690908496548198,0,10,1
output,g59_Phi,0.3628781357889298,0.3377786248361834,0,10,1
output,g59_phi_2,0.6492472119686274,0.6327710047017497,0,10,1
output,g63_phi_1,0.3271340649185779,0.2684843638467219,0,10,1
output,g63_Phi,0.4866712931924322,0.4399954739538081,0,10,1
output,g63_phi_2,0.6058112483051167,0.5748180752315016,0,10,1
output,g86_phi_1,0.32649971472503697,0.3125370031073033,0,10,1
output,g86_Phi,0.28546729046005725,0.25387085233968276,0,10,1
output,g86_phi_2,0.5728716022004802,0.5577958336056282,0,10,1
output,g237_phi_1,0.33663981864168924,0.33481551250621205,0,10,1
output,g237_Phi,0.36095296804911486,0.3397494816808758,0,10,1
output,g237_phi_2,0.6217680981035966,0.61272029677886,0,10,1
output,g303_phi_1,0.4167236975467344,0.40330930382686836,0,10,1
output,g303_Phi,0.3230044507740414,0.30085624311839365,0,10,1
output,g303_phi_2,0.6666677114585888,0.6501423237924339,0,10,1
