Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1629.0,0.15632,127.19,7.3319,0.062693,0.13023,0.13465,0.092302,0.067019,0.055283,0.5421758152452106
1631.7,0.1566,126.83,7.3095,0.062687,0.13026,0.13733,0.092321,0.067036,0.055275,0.5449078760529193
1632.8,0.15861,124.96,7.3007,0.06275,0.13024,0.14383,0.092231,0.067051,0.055223,0.5513203877669965
1340.4,0.1904,124.88,6.7331,0.062145,0.1299,0.16319,0.09276,0.067827,0.054891,0.5707219288536601
1341.9,0.18917,126.23,6.866,0.062367,0.12964,0.16953,0.092409,0.067691,0.054904,0.5765460299471966
1340.3,0.18958,124.34,6.7309,0.062133,0.12992,0.1788,0.092786,0.067841,0.054891,0.5863740148288586
1631.9,0.15668,128.14,7.4602,0.062734,0.1301,0.17974,0.092187,0.066892,0.055313,0.5869641160842617
1341.5,0.18926,126.06,6.382,0.061277,0.13047,0.1787,0.094045,0.068102,0.054829,0.5874271206046767
1341.5,0.19,125.42,6.3419,0.061168,0.13057,0.17875,0.094198,0.068132,0.054813,0.5876275997606842
1341.8,0.19417,123.41,6.3792,0.061281,0.13052,0.17949,0.094001,0.068093,0.054791,0.5881733796715946
