param_type,param_name,base,in_u_bound,out_l_bound,out_u_bound,in_l_bound
input,cp_tau_s,10,3.296928319310418,0,1,1.8766623029084784
input,cp_b,10,1.2500050284868955,0,1,-2.0130402613993863
input,cp_tau_0,10,2.670691055042279,0,1,1.5509373255998988
input,cp_n,10,1.2984819125134826,0,1,0.09356175756528876
input,average_strain,10,-0.5432089914580953,0,1,-2.2088780244748247
output,average_stress,10,3.7962203708167523,0,1,2.273209683400331
output,g51_phi_1,10,-0.08396738981143051,0,1,-0.1738085368398134
output,g51_Phi,10,0.35057749181728093,0,1,0.3177500288422335
output,g51_phi_2,10,0.509995092013399,0,1,0.47405592443789246
output,g56_phi_1,10,0.29112454661221515,0,1,0.24326134272058472
output,g56_Phi,10,0.42934847292366174,0,1,0.4141540976802072
output,g56_phi_2,10,0.6888201139391992,0,1,0.6441529050493936
output,g72_phi_1,10,0.7980564501882575,0,1,-3.1695717355574557
output,g72_Phi,10,0.4615285391863272,0,1,0.4573519461106941
output,g72_phi_2,10,0.33366889957641027,0,1,0.22937463092884328
output,g80_phi_1,10,0.13120149002623302,0,1,0.11200139548618868
output,g80_Phi,10,0.3223640354391094,0,1,0.30783820415656005
output,g80_phi_2,10,0.6451175668065426,0,1,0.6298477503715815
output,g126_phi_1,10,0.4319906257861406,0,1,0.39141151038561145
output,g126_Phi,10,0.38822557252369844,0,1,0.3711417784461813
output,g126_phi_2,10,0.6999677346938125,0,1,0.6754392030514794
output,g223_phi_1,10,0.6770409063102301,0,1,0.6666864241923703
output,g223_Phi,10,0.4756421375547005,0,1,0.4566999773837925
output,g223_phi_2,10,-0.3441223567007149,0,1,-0.4822764051662644
output,g237_phi_1,10,0.33665982345441997,0,1,0.33318520805276225
output,g237_Phi,10,0.3622373609640986,0,1,0.3363596544652307
output,g237_phi_2,10,0.6218822154957356,0,1,0.6084083516417061
output,g262_phi_1,10,0.1834691462315099,0,1,0.13896547828982692
output,g262_Phi,10,0.400468911217488,0,1,0.3781797903809501
output,g262_phi_2,10,0.5980459892417617,0,1,0.5847155858051372
