Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1546.9,0.16757,125.7,5.3427,0.11091,0.047197,0.099121,0.3124,0.13588,0.031153,0.25457,0.11428,0.13447,1.2399782110991833
1546.8,0.16709,125.88,5.3252,0.11091,0.047398,0.099276,0.31338,0.13598,0.031226,0.25448,0.11425,0.13457,1.2414645587109585
1505.7,0.17285,124.34,5.3781,0.11084,0.046702,0.098761,0.31527,0.13565,0.030924,0.25479,0.11433,0.13424,1.2415052510379327
1544.4,0.16896,123.97,5.3781,0.11078,0.046825,0.098677,0.31561,0.13559,0.030912,0.25482,0.11436,0.13412,1.2416924882829345
1505.7,0.17309,124.17,5.373,0.11084,0.046797,0.098777,0.31635,0.13565,0.030922,0.25477,0.11433,0.13426,1.242700226938768
1546.9,0.16846,125.08,5.2825,0.11072,0.048089,0.099485,0.31502,0.13606,0.031273,0.25432,0.11424,0.13474,1.2439531480526045
1505.3,0.17327,123.95,5.3511,0.11087,0.047133,0.098921,0.31812,0.13573,0.030968,0.25466,0.11432,0.13438,1.2451006366449007
1503.4,0.17367,124.22,5.3389,0.11088,0.047289,0.099032,0.31811,0.13579,0.031018,0.25459,0.1143,0.13447,1.2454725882421116
1486.6,0.17513,124.38,5.3686,0.11084,0.046776,0.098856,0.31958,0.13571,0.030942,0.25473,0.11431,0.13433,1.2460649440064056
1505.5,0.17279,124.08,5.3137,0.11088,0.047624,0.099228,0.31875,0.13592,0.031097,0.25447,0.11427,0.13459,1.2468267182079993
