Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
178.21,592.44,62.189,10.784,0.1289,0.023677,0.2687,0.29904,0.13513,0.10064,0.11834,0.12263,0.026278,1.2233421422867368
171.78,577.41,62.894,10.788,0.12893,0.024364,0.26881,0.30027,0.13532,0.10054,0.11725,0.12273,0.026501,1.2246969892805208
174.7,574.19,62.541,10.788,0.12882,0.024252,0.26889,0.30527,0.13477,0.10022,0.11577,0.1227,0.02628,1.2269712636351093
175.95,593.75,62.546,10.698,0.12912,0.02369,0.26862,0.30034,0.13562,0.10091,0.12001,0.12272,0.026384,1.2274162478463082
178.45,624.35,62.646,10.813,0.12915,0.023296,0.26838,0.2967,0.13632,0.10155,0.12339,0.12256,0.026652,1.2279982174545245
179.98,620.4,62.383,10.79,0.1291,0.023227,0.26841,0.29899,0.13601,0.10138,0.12251,0.12257,0.026498,1.2286893310555418
174.33,584.45,62.777,10.678,0.12911,0.023937,0.2687,0.30339,0.13544,0.10071,0.1188,0.12277,0.026371,1.2292200097936072
177.36,631.55,62.864,10.911,0.12911,0.023381,0.26836,0.29716,0.1366,0.10172,0.12403,0.12249,0.026861,1.229702325615846
177.35,624.88,62.914,10.788,0.12923,0.023332,0.26835,0.29803,0.13651,0.10164,0.12389,0.12259,0.026724,1.230300973223331
178.35,624.94,62.774,10.787,0.1292,0.023277,0.26836,0.2989,0.13638,0.10158,0.12363,0.12258,0.026659,1.230562918192438
