param_type,param_name,in_l_bound,out_u_bound,in_u_bound,base,out_l_bound
input,cp_lh_0,1.2971255615279802,1,2.984279717426286,10,0
input,cp_lh_1,1.136149586088531,1,2.9964284827844163,10,0
input,cp_lh_2,1.657237568032927,1,2.9861175614728372,10,0
input,cp_lh_3,1.621176281775035,1,2.983418786407358,10,0
input,cp_lh_4,0.43075210435985894,1,2.9853635933909426,10,0
input,cp_lh_5,1.731274412396142,1,2.99273903637362,10,0
input,cp_tau_0,1.0824263008607717,1,2.6872345756743266,10,0
input,cp_n,0.17799796309656604,1,1.2943339335834556,10,0
input,average_strain,-2.2612907731093914,1,-0.5440289596056914,10,0
output,average_stress,2.056142262059052,1,3.591298394964111,10,0
output,g51_phi_1,-0.18729381782481458,1,-0.08414131104164946,10,0
output,g51_Phi,0.3174783139230186,1,0.35057749181728093,10,0
output,g51_phi_2,0.4676376987478914,1,0.5038995833791918,10,0
output,g56_phi_1,0.24373236455264885,1,0.2878688836785602,10,0
output,g56_Phi,0.4141373621844766,1,0.4200548157787636,10,0
output,g56_phi_2,0.6530291062720085,1,0.6887667629934006,10,0
output,g72_phi_1,-3.0294346365468847,1,0.7979527281649079,10,0
output,g72_Phi,0.4572610324654169,1,0.46155854951573855,10,0
output,g72_phi_2,0.20417426607351977,1,0.3282164575007172,10,0
output,g80_phi_1,0.10842970842346647,1,0.1336985461157765,10,0
output,g80_Phi,0.3135930645213261,1,0.32469391386177465,10,0
output,g80_phi_2,0.6298171960185158,1,0.6467173245628285,10,0
output,g126_phi_1,0.3861778077908856,1,0.42512647050877367,10,0
output,g126_Phi,0.37108634249479394,1,0.3883143871177426,10,0
output,g126_phi_2,0.6737763462688267,1,0.6984050542123486,10,0
output,g223_phi_1,0.6680875862768241,1,0.6781358129330345,10,0
output,g223_Phi,0.4508800708072709,1,0.4757002371510284,10,0
output,g223_phi_2,-0.44085974901413766,1,-0.30442201887986203,10,0
output,g237_phi_1,0.3337696008734745,1,0.3381176914768583,10,0
output,g237_Phi,0.3391531962573589,1,0.36733728137787325,10,0
output,g237_phi_2,0.6098717569252973,1,0.6239725120169962,10,0
output,g262_phi_1,0.1387762157293491,1,0.1874079024225533,10,0
output,g262_Phi,0.3781070625097422,1,0.4040636148838919,10,0
output,g262_phi_2,0.584692985722812,1,0.5981993766332158,10,0
