param_type,param_name,in_l_bound,in_u_bound,base,out_l_bound,out_u_bound
input,cp_lh_0,1.2232882190969478,2.9928361811342445,10,0,1
input,cp_lh_1,1.576237660100722,2.9850355679103537,10,0,1
input,cp_tau_0,1.5169714324693269,2.641077313325374,10,0,1
input,cp_n,0.23111262905635235,1.288740938794287,10,0,1
input,average_strain,-2.0586128112462623,-0.5431938214533117,10,0,1
output,average_stress,2.296950239536639,3.624498673276187,10,0,1
output,g51_phi_1,-0.1751065278293302,-0.08414658246939438,10,0,1
output,g51_Phi,0.3174992211071317,0.3501898499993342,10,0,1
output,g51_phi_2,0.47171699397715877,0.5038723608586135,10,0,1
output,g56_phi_1,0.2438562328065057,0.2878465002495176,10,0,1
output,g56_Phi,0.41064228597244085,0.41988969107356794,10,0,1
output,g56_phi_2,0.6521883022280086,0.6887667629934006,10,0,1
output,g72_phi_1,-2.908508905732049,0.797779803058539,10,0,1
output,g72_Phi,0.45795755120363807,0.46158855777153923,10,0,1
output,g72_phi_2,0.21248058772137318,0.3371596445268558,10,0,1
output,g80_phi_1,0.11494441571258465,0.14229558828976357,10,0,1
output,g80_Phi,0.3125370031073033,0.32958091574189846,10,0,1
output,g80_phi_2,0.6298171960185158,0.6453436568985371,10,0,1
output,g126_phi_1,0.3907232044488198,0.42193281327850835,10,0,1
output,g126_Phi,0.3676540466474073,0.3883143871177426,10,0,1
output,g126_phi_2,0.6741443768674394,0.6983876594720129,10,0,1
output,g223_phi_1,0.6670605096471749,0.6792279661098984,10,0,1
output,g223_Phi,0.4556821645007904,0.4761502456792672,10,0,1
output,g223_phi_2,-0.43448274855533,-0.29770735670753135,10,0,1
output,g237_phi_1,0.334131932327829,0.33829709023269106,10,0,1
output,g237_Phi,0.3395706820014385,0.3661239850211335,10,0,1
output,g237_phi_2,0.6108623609924569,0.6242924114965731,10,0,1
output,g262_phi_1,0.13880776521771448,0.19777661127138677,10,0,1
output,g262_Phi,0.3781070625097422,0.4025193025742492,10,0,1
output,g262_phi_2,0.584692985722812,0.6021251306149235,10,0,1
