iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,16.722,84.167,63.01,2.8644,0.5334833445344377,0.12097455152274413,0.5719907402607775
2,110.96,53.414,35.675,2.6662,0.5540735164554939,0.12057414833418229,0.5924534598884549
3,983.64,37.691,71.04,1.9036,1.1475776578744021,0.1321584294281457,1.1896449925039037
4,119.99,56.463,78.311,3.6602,0.21863257721495521,0.11146988524306835,0.2541145436995965
5,224.43,230.36,61.585,8.2937,0.036622116264266515,0.21792975966872719,0.10599131326047992
6,230.25,188.99,64.283,8.2484,0.013476198597850953,0.16292611420233136,0.06533719146596233
7,240.51,191.97,63.614,8.1589,0.013188920608386041,0.16405428649850762,0.06540902187168898
8,233.24,195.88,62.806,8.2359,0.017327586931806752,0.16480262083460245,0.06978589041245947
9,231.25,196.36,63.969,8.433,0.012672785891857297,0.16256166180402215,0.06441776995854347
10,231.37,197.05,63.885,8.38,0.012231100958344033,0.16319047306483414,0.06417624186589035
11,232.54,201.52,63.586,8.3729,0.011859781050066933,0.1637322875596665,0.06397738686779607
12,232.92,198.17,63.898,8.3736,0.012180606194780737,0.16387793342781823,0.06434457253222439
13,227.46,197.95,63.82,8.6718,0.013625555386986506,0.1652382933126013,0.06622253772452444
