Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1282.6,0.3151,106.26,5.0153,0.059152,0.10143,0.10887,0.14061,0.11629,0.13531,0.43812,0.24353,0.041487,1.384797975719363
1254.6,0.31521,107.36,5.0134,0.058151,0.1014,0.10918,0.14033,0.11525,0.13523,0.44531,0.24412,0.040713,1.3896893576577982
1257.5,0.31564,105.78,4.9866,0.058848,0.10139,0.10909,0.14052,0.11581,0.13543,0.44593,0.24385,0.041065,1.39193981340488
1271.3,0.31467,107.56,5.0178,0.058501,0.10146,0.10905,0.14043,0.11566,0.13525,0.44924,0.24386,0.041044,1.3945016540102386
1330.9,0.30394,105.24,4.9179,0.061467,0.1017,0.10864,0.14138,0.11827,0.1363,0.44391,0.24252,0.042972,1.3971633738375493
1279.3,0.32271,104.51,5.21,0.058036,0.10117,0.1084,0.14033,0.11577,0.13395,0.45781,0.24365,0.04124,1.4003533596625046
1253.9,0.31526,106.59,5.0225,0.05825,0.10138,0.10911,0.14038,0.11537,0.13517,0.45624,0.24406,0.040784,1.4007362438045248
1261.1,0.31513,107.24,4.8686,0.059568,0.10185,0.1094,0.14062,0.11611,0.1363,0.45397,0.24377,0.041248,1.4028391693678375
1249.7,0.31472,106.26,4.9643,0.058691,0.10151,0.10923,0.14048,0.11558,0.13557,0.46014,0.24401,0.040873,1.4060876311040225
1261.2,0.31405,104.93,4.7976,0.060761,0.10216,0.10937,0.14096,0.11698,0.13685,0.4572,0.2434,0.041794,1.4094750656240294
