param_type,param_name,out_l_bound,out_u_bound,in_l_bound,base,in_u_bound
input,cp_tau_s,0,1,2.1109935173779952,10,3.2745042226558825
input,cp_b,0,1,-0.9779842601822797,10,1.2832107412603837
input,cp_tau_0,0,1,1.365282020572183,10,2.648262405748044
input,cp_n,0,1,0.04340157891088105,10,1.290657766409132
input,average_strain,0,1,-2.119346440430904,10,-0.5425268652926415
output,average_stress,0,1,1.9722352472057578,10,3.7867372292835224
output,g51_phi_1,0,1,-0.17070266120895924,10,-0.0832040147641289
output,g51_Phi,0,1,0.3176664423565012,10,0.35063560825895435
output,g51_phi_2,0,1,0.4754532601697004,10,0.5083680909523376
output,g56_phi_1,0,1,0.24484590903243605,10,0.2928539224724495
output,g56_Phi,0,1,0.4141540976802072,10,0.42568091682862397
output,g56_phi_2,0,1,0.6446650332140288,10,0.6896018424410356
output,g72_phi_1,0,1,-2.6351489479923074,10,0.7981324972646134
output,g72_Phi,0,1,0.4579272909972501,10,0.46148351980356334
output,g72_phi_2,0,1,0.2364112877439664,10,0.34507952631486666
output,g80_phi_1,0,1,0.11216914800165971,10,0.13401764567598334
output,g80_Phi,0,1,0.30882043310995977,10,0.3223433611486762
output,g80_phi_2,0,1,0.6298375658260711,10,0.644271142084923
output,g126_phi_1,0,1,0.39225716134167427,10,0.43523898859606475
output,g126_Phi,0,1,0.37152963209929446,10,0.38824333689559587
output,g126_phi_2,0,1,0.6762179110252783,10,0.701593886538907
output,g223_phi_1,0,1,0.6625311841256412,10,0.6774518198444363
output,g223_Phi,0,1,0.4604768690514507,10,0.4755985577561688
output,g223_phi_2,0,1,-0.5423451457815401,10,-0.34834408161062125
output,g237_phi_1,0,1,0.33148803276053207,10,0.33657979867403814
output,g237_Phi,0,1,0.33495611613685183,10,0.36082053523794194
output,g237_phi_2,0,1,0.6073370506670309,10,0.6211555016376162
output,g262_phi_1,0,1,0.13896547828982692,10,0.18341221197842586
output,g262_Phi,0,1,0.3781797903809501,10,0.3996737214810381
output,g262_phi_2,0,1,0.5847042859109842,10,0.5983965094237461
