Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
616.06,0.46907,120.95,6.8578,0.1271,0.09353,0.030188,0.25982,0.74212,0.11468,0.15145,0.02903,0.13255,1.6804685825389278
623.54,0.46805,119.79,6.8846,0.12698,0.093443,0.030178,0.25989,0.74591,0.11468,0.15037,0.028944,0.13249,1.682884076406328
618.7,0.46018,122.47,6.8569,0.12714,0.093588,0.030218,0.25978,0.72786,0.11464,0.16813,0.029086,0.13261,1.6830498560954443
618.58,0.46033,122.44,6.8449,0.12718,0.093613,0.030291,0.25975,0.73206,0.11464,0.16552,0.029091,0.13263,1.6847719894278548
618.69,0.46029,122.34,6.8646,0.12711,0.093569,0.030174,0.2598,0.72616,0.11465,0.17207,0.029078,0.13259,1.6851980523485286
625.56,0.46831,119.22,6.9076,0.12689,0.093381,0.030085,0.25995,0.74686,0.11469,0.1557,0.028902,0.13244,1.6889014188205063
616.49,0.46812,120.95,6.8853,0.12701,0.093474,0.030031,0.25988,0.72991,0.11469,0.1736,0.029017,0.1325,1.6901189650190092
618.65,0.45783,122.31,6.8668,0.12711,0.093575,0.03017,0.2598,0.72464,0.11465,0.17853,0.029082,0.1326,1.6901572341764297
623.58,0.46854,119.22,6.9073,0.1269,0.093384,0.030055,0.25995,0.74485,0.11469,0.15989,0.028911,0.13244,1.6910770994986906
623.28,0.45977,121.09,6.8591,0.12711,0.093555,0.030325,0.2598,0.74149,0.11464,0.1653,0.029019,0.1326,1.6938384745387451
