param_type,param_name,base,out_l_bound,in_u_bound,in_l_bound,out_u_bound
input,cp_tau_s,10,0,3.2947527219101773,1.767237520615771,1
input,cp_b,10,0,1.3007258830748203,-0.5495353379928499,1
input,cp_tau_0,10,0,2.6814764165313454,-0.20899044316646978,1
input,cp_n,10,0,1.2916130169398792,0.09440124458293679,1
input,average_strain,10,0,-0.5443026267134433,-2.1400335489840763,1
output,average_stress,10,0,3.7493574950696877,2.323911808996012,1
output,g51_phi_1,10,0,-0.08404116606956052,-0.17082492608291241,1
output,g51_Phi,10,0,0.35048061379553075,0.3176664423565012,1
output,g51_phi_2,10,0,0.5098340085329618,0.47519160195204313,1
output,g56_phi_1,10,0,0.2903017873056742,0.24538927117121048,1
output,g56_Phi,10,0,0.42756724771945037,0.4141540976802072,1
output,g56_phi_2,10,0,0.6887400850625868,0.6473634068595024,1
output,g72_phi_1,10,0,0.7979942199469117,-3.015126289344467,1
output,g72_Phi,10,0,0.461648568063455,0.45733679515805414,1
output,g72_phi_2,10,0,0.3381376283319081,0.2443760940205719,1
output,g80_phi_1,10,0,0.1326438509730801,0.11112803634512404,1
output,g80_Phi,10,0,0.3223640354391094,0.30882043310995977,1
output,g80_phi_2,10,0,0.6442908451282938,0.6298273810417196,1
output,g126_phi_1,10,0,0.4313798488419358,0.39236275202585685,1
output,g126_Phi,10,0,0.38824333689559587,0.37302240278815724,1
output,g126_phi_2,10,0,0.6988831367525902,0.6764649734090551,1
output,g223_phi_1,10,0,0.6774426926551983,0.6662183637910806,1
output,g223_Phi,10,0,0.4755840301848114,0.46055207286155797,1
output,g223_phi_2,10,0,-0.3510450716581867,-0.4852929024537203,1
output,g237_phi_1,10,0,0.3362995957634174,0.3325596414674039,1
output,g237_Phi,10,0,0.36030934434205864,0.33691980220022805,1
output,g237_phi_2,10,0,0.6209580407261619,0.6085367303538821,1
output,g262_phi_1,10,0,0.18321288329425114,0.13890239993359355,1
output,g262_Phi,10,0,0.3988250669622897,0.3781616095549128,1
output,g262_phi_2,10,0,0.5981665124667783,0.5847042859109842,1
