Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1613.6,0.16754,124.36,4.0188,0.23642,0.071259,0.039374,0.14338,0.11296,0.2463,0.10403,0.145,0.11274,1.2114632483559789
1614.1,0.16819,124.48,3.9894,0.23356,0.071856,0.039665,0.14361,0.11332,0.24612,0.1056,0.14532,0.11272,1.2117856324424956
1605.5,0.16796,125.06,4.0008,0.23479,0.071618,0.039591,0.14358,0.11322,0.24617,0.1049,0.1452,0.11272,1.2118032317853666
1613.5,0.16808,124.35,3.9903,0.234,0.07184,0.039653,0.1436,0.11331,0.24613,0.10556,0.14531,0.11273,1.212138691346087
1614.0,0.16785,124.36,3.9926,0.23466,0.071794,0.039634,0.14359,0.11329,0.24614,0.10543,0.14529,0.11273,1.212560104463804
1619.0,0.16746,124.31,3.9894,0.2349,0.071856,0.039663,0.1436,0.11333,0.24612,0.10562,0.14532,0.11273,1.213133704291268
1613.8,0.16812,124.36,3.9834,0.23563,0.07198,0.039723,0.14366,0.1134,0.24609,0.10594,0.14539,0.11272,1.2145242584112084
1609.4,0.16817,124.38,3.9902,0.2369,0.071843,0.039661,0.14362,0.11332,0.24613,0.10555,0.14531,0.11272,1.2150688994165035
1607.9,0.16892,123.76,4.0007,0.23808,0.071648,0.039517,0.14351,0.11315,0.2462,0.10503,0.1452,0.11274,1.2150801832936913
1613.5,0.16784,124.34,3.989,0.23695,0.071866,0.039671,0.14362,0.11334,0.24612,0.10563,0.14533,0.11272,1.215243091934131
