Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.2,0.15041,128.93,3.7751,0.11185,0.11771,0.10622,0.076832,0.042415,0.14732,0.14521,0.24398,0.44389,1.4354326950478742
1999.2,0.15002,128.85,3.7655,0.11185,0.11785,0.10619,0.07701,0.042525,0.14741,0.14527,0.24392,0.44373,1.435748688499419
1999.0,0.14878,129.65,3.9914,0.11189,0.11483,0.10619,0.072772,0.03993,0.14525,0.14391,0.24518,0.45609,1.4360328878248554
1999.2,0.14988,128.89,3.792,0.11185,0.11749,0.1063,0.076487,0.042222,0.14716,0.14513,0.24407,0.44671,1.437419239220422
1995.4,0.15063,128.81,3.8144,0.11185,0.11716,0.10637,0.076052,0.041936,0.14696,0.14499,0.24422,0.44828,1.4378240825559196
1993.5,0.15016,128.75,3.8312,0.11186,0.11692,0.10642,0.075702,0.041726,0.14679,0.1449,0.24432,0.44958,1.4382246608066307
1996.5,0.15137,128.62,3.7968,0.11185,0.11737,0.10632,0.076407,0.042126,0.14712,0.14508,0.24413,0.44861,1.4390181965041338
1999.2,0.15167,127.36,3.7895,0.11185,0.11739,0.10643,0.07652,0.042151,0.14717,0.14509,0.24413,0.45008,1.4408112303711398
1999.2,0.14953,128.94,3.9727,0.11188,0.11502,0.10627,0.073108,0.040097,0.14541,0.144,0.24511,0.45995,1.4408503182318992
1990.3,0.15061,128.84,3.7679,0.11188,0.11775,0.10614,0.076942,0.042444,0.1474,0.14522,0.24397,0.4495,1.4412588643078712
