param_type,param_name,base,in_l_bound,in_u_bound,out_l_bound,out_u_bound
input,cp_tau_s,10,0.9245738859466553,3.30092140846954,0,1
input,cp_b,10,-1.4995302437749305,1.2694428910712359,0,1
input,cp_tau_0,10,0.04813092702896743,2.669855926622826,0,1
input,cp_n,10,0.11697282286045474,1.2793018372746163,0,1
input,average_strain,10,-2.7631102062981383,-0.5436187820146801,0,1
output,average_stress,10,0.5900947140528168,3.7574339899382694,0,1
output,g51_phi_1,10,-0.17700206039314642,-0.08396212055824828,0,1
output,g51_Phi,10,0.31760374193310437,0.35082927358296767,0,1
output,g51_phi_2,10,0.4718781993072905,0.5155294493748623,0,1
output,g56_phi_1,10,0.24122263119589113,0.29101345396538025,0,1
output,g56_Phi,10,0.4141373621844766,0.42620210284358007,0,1
output,g56_phi_2,10,0.6416822839852191,0.6887400850625868,0,1
output,g72_phi_1,10,-2.4299827343584814,0.7981117584734612,0,1
output,g72_Phi,10,0.45721556850495626,0.46154354461025204,0,1
output,g72_phi_2,10,0.2287339083761365,0.3340715647407651,0,1
output,g80_phi_1,10,0.11287300184045851,0.13490987913187827,0,1
output,g80_Phi,10,0.3070037011631557,0.322405381067654,0,1
output,g80_phi_2,10,0.6298375658260711,0.6455499842395588,0,1
output,g126_phi_1,10,0.39089979717353296,0.43063933616465505,0,1
output,g126_Phi,10,0.371917139682522,0.3883143871177426,0,1
output,g126_phi_2,10,0.6745396622296808,0.699230502883409,0,1
output,g223_phi_1,10,0.6665647770079085,0.6782360413955297,0,1
output,g223_Phi,10,0.45819955698116943,0.4756276114410808,0,1
output,g223_phi_2,10,-0.48512034477720656,-0.3042207236355152,0,1
output,g237_phi_1,10,0.33322553626171525,0.3366998303156618,0,1
output,g237_Phi,10,0.3362595520141932,0.36470104959469873,0,1
output,g237_phi_2,10,0.6084618473837274,0.6229803581833981,0,1
output,g262_phi_1,10,0.13887085731950383,0.18275693104039914,0,1
output,g262_Phi,10,0.37814342796774153,0.4021753750315051,0,1
output,g262_phi_2,10,0.5846590833940271,0.5976951859255123,0,1
