Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1431.5,0.37664,202.12,1.5166,0.18865,0.12202,0.46968,0.17112,0.25535,0.187,0.20055,0.10606,0.12603,1.8264641263345622
1429.6,0.37696,202.14,1.5135,0.18873,0.12209,0.47903,0.17121,0.25535,0.18708,0.20069,0.106,0.12606,1.8362584113379599
1414.3,0.38246,202.4,1.5124,0.18878,0.12212,0.48134,0.17126,0.25535,0.18713,0.20063,0.10613,0.12608,1.8388133410544603
1422.0,0.37512,202.95,1.517,0.18866,0.12202,0.48497,0.17115,0.25537,0.18698,0.20047,0.10616,0.12602,1.841806773437267
1420.1,0.3732,202.95,1.5173,0.18866,0.12201,0.49098,0.17115,0.25538,0.18697,0.20045,0.10616,0.12602,1.8477858914790786
1421.9,0.3702,202.95,1.5171,0.18866,0.12202,0.4918,0.17116,0.25539,0.18697,0.20047,0.10611,0.12602,1.8486047601289597
1440.1,0.38729,201.94,1.5153,0.18867,0.12203,0.49296,0.17111,0.2553,0.18705,0.20066,0.10606,0.12606,1.8499053979574058
1424.1,0.37028,201.63,1.5142,0.18872,0.12209,0.4975,0.17121,0.25538,0.18705,0.20064,0.10596,0.12605,1.8545954422753643
1408.6,0.38709,202.95,1.5174,0.18868,0.12199,0.49802,0.17115,0.25534,0.18699,0.2004,0.10641,0.12603,1.854993301823503
1431.5,0.37797,201.87,1.5118,0.18877,0.12213,0.501,0.17124,0.25534,0.18713,0.20079,0.10597,0.12608,1.8584632036591746
