param_type,param_name,out_u_bound,in_l_bound,out_l_bound,in_u_bound,base
input,cp_tau_s,1,0.7511404772389925,0,3.2617860865657535,10
input,cp_b,1,-2.1243600629958315,0,0.9488871051161121,10
input,cp_tau_0,1,0.13541890502785223,0,2.6627861543111875,10
input,cp_n,1,0.05319372760086968,0,1.298896721903126,10
input,average_strain,1,-2.5594844788877715,0,-0.5441049609502151,10
output,average_stress,1,0.7193644379689649,0,3.6387188232374905,10
output,g51_phi_1,1,-0.11786268606009168,0,-0.07116393077027025,10
output,g51_Phi,1,0.3175410324561486,0,0.3536085207086392,10
output,g51_phi_2,1,0.48479792433188434,0,0.5038995833791918,10
output,g56_phi_1,1,0.2879807835224978,0,0.33485568961729145,10
output,g56_Phi,1,0.41261172615616365,0,0.4179032819912289,10
output,g56_phi_2,1,0.6878677036179882,0,0.6894953259203218,10
output,g72_phi_1,1,-3.1507894909279903,0,0.7978973996218721,10
output,g72_Phi,1,0.4609429228889589,0,0.46630400597520993,10
output,g72_phi_2,1,0.23014225231864183,0,0.2967748467403116,10
output,g80_phi_1,1,0.11614265385379371,0,0.17169720724883591,10
output,g80_Phi,1,0.320312491425713,0,0.32827764440976764,10
output,g80_phi_2,1,0.6298171960185158,0,0.6344168073235126,10
output,g126_phi_1,1,0.4152405239139741,0,0.4847552537095594,10
output,g126_Phi,1,0.3425805773816271,0,0.38822557252369844,10
output,g126_phi_2,1,0.690125169018167,0,0.7017147397049948,10
output,g223_phi_1,1,0.6229700113102062,0,0.6697258733022111,10
output,g223_Phi,1,0.4531806897020939,0,0.4756421375547005,10
output,g223_phi_2,1,-10,0,0.7976967745440299,10
output,g237_phi_1,1,0.3256798268434257,0,0.3361994794666317,10
output,g237_Phi,1,0.3381176914768583,0,0.3603661730532693,10
output,g237_phi_2,1,0.6051110251239027,0,0.6142853998490184,10
output,g262_phi_1,1,0.13896547828982692,0,0.19697713537511863,10
output,g262_Phi,1,0.37821614974987783,0,0.3981484200086309,10
output,g262_phi_2,1,0.5847607824418626,0,0.6043772735885633,10
