Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
3174.8,0.35318,0.59264,16.921,0.14885,1.2914,0.26688,0.56907,0.17103,0.16524,0.070396,0.11471,0.10176,2.899289852844863
3303.6,0.49018,0.59074,19.373,0.15053,1.4323,0.26634,0.5248,0.17051,0.16541,0.070354,0.11542,0.10164,2.9972740705307808
3331.7,0.48956,0.5505,19.007,0.15119,1.7369,0.26623,0.48017,0.17066,0.16567,0.070307,0.11639,0.10168,3.2592200005146177
3332.9,0.49475,0.69594,19.603,0.14942,1.5478,0.2661,0.79541,0.16996,0.16488,0.070587,0.11407,0.10155,3.37975556948153
3352.3,0.40489,0.56443,19.625,0.14971,1.4973,0.26712,0.84913,0.17085,0.16519,0.070228,0.11378,0.10173,3.385068526813966
1086.6,9.5686,2.9288,16.645,0.15329,1.6055,0.25992,0.77858,0.16932,0.166,0.07352,0.12363,0.10165,3.4313886053857825
3447.7,0.59481,0.59295,16.893,0.15259,1.3641,0.26429,1.05,0.16999,0.16603,0.070864,0.11998,0.1017,3.4595676167394793
1135.1,9.939,2.8036,16.701,0.15421,1.7075,0.25942,0.73094,0.16927,0.1662,0.073617,0.12463,0.10179,3.487556611684055
3110.0,0.50464,0.61607,16.681,0.15077,1.3915,0.2655,1.0538,0.17056,0.16578,0.07059,0.11795,0.10164,3.4880850441550386
1140.0,10.026,2.7494,16.708,0.15446,1.6644,0.25933,0.77623,0.1693,0.16626,0.073617,0.1249,0.10182,3.4903338462104645
