param_type,param_name,out_u_bound,out_l_bound,in_l_bound,in_u_bound,base
input,cp_tau_s,1,0,2.1713753667449405,3.5985935527733375,10
input,cp_b,1,0,-0.7518304866931896,1.2874434011294495,10
input,cp_tau_0,1,0,-0.22720903933417852,2.955476082381318,10
input,cp_n,1,0,0.14148112927080356,1.2551035799561023,10
input,average_strain,1,0,-2.0892742359918555,-0.5426177535696185,10
output,average_stress,1,0,1.8168045228797658,3.9702120101098024,10
output,g51_phi_1,1,0,-0.11244458541142227,-0.08263104947877045,10
output,g51_Phi,1,0,0.31739467512027514,0.3329835108162261,10
output,g51_phi_2,1,0,0.4839294632122413,0.5038995833791918,10
output,g56_phi_1,1,0,0.2879360270447024,0.330129562487524,10
output,g56_Phi,1,0,0.41418756673709056,0.42414630575515594,10
output,g56_phi_2,1,0,0.6768033122689652,0.6887667629934006,10
output,g72_phi_1,1,0,-2.38668683854454,0.798028793404073,10
output,g72_Phi,1,0,0.46059718889760143,0.4655910249295379,10
output,g72_phi_2,1,0,0.19766642619356542,0.2963799537713857,10
output,g80_phi_1,1,0,0.11590992187706076,0.17542482979032184,10
output,g80_Phi,1,0,0.3193767580582495,0.3291130026818197,10
output,g80_phi_2,1,0,0.627037963423587,0.6312610833832608,10
output,g126_phi_1,1,0,0.42021987772514774,0.4523232169775147,10
output,g126_Phi,1,0,0.38687334968417914,0.39640859522404504,10
output,g126_phi_2,1,0,0.6903821663622483,0.7045537256680241,10
output,g223_phi_1,1,0,0.6703664736781221,0.6802811098633005,10
output,g223_Phi,1,0,0.46803700922574687,0.47565666318247257,10
output,g223_phi_2,1,0,-0.415510467959025,-0.3548332731601364,10
output,g237_phi_1,1,0,0.32062395505353747,0.3362195045724291,10
output,g237_Phi,1,0,0.3396104216255595,0.3653194758962168,10
output,g237_phi_2,1,0,0.611691451498025,0.621539773321731,10
output,g262_phi_1,1,0,0.13104093160009905,0.1477690462601471,10
output,g262_Phi,1,0,0.3780706940064422,0.3910410196711283,10
output,g262_phi_2,1,0,0.5816880249045887,0.5845799676666654,10
