Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1951.6,0.18337,154.19,4.4335,0.1234,0.099316,0.072111,0.043428,0.11236,0.19135,0.13456,0.21913,0.046248,1.0419097737317928
1948.8,0.18234,154.95,4.4328,0.12338,0.09933,0.072081,0.043393,0.11236,0.19218,0.13457,0.21913,0.046286,1.0427071153009415
1950.7,0.18248,150.54,4.6509,0.12438,0.099435,0.070215,0.041162,0.11211,0.20502,0.13443,0.21898,0.046618,1.0523496966858346
1948.5,0.18356,152.13,4.6191,0.12421,0.099432,0.070491,0.041484,0.11216,0.20767,0.13444,0.21899,0.046579,1.0554648733841823
1951.0,0.18345,152.29,4.3862,0.12324,0.099222,0.072583,0.043991,0.1124,0.20536,0.13459,0.21919,0.046111,1.056686558917106
1998.0,0.177,152.08,4.7071,0.12455,0.099592,0.069652,0.040445,0.11212,0.21758,0.13443,0.21891,0.046824,1.0641092107205181
1874.5,0.18574,151.91,4.7177,0.12462,0.099561,0.069668,0.040654,0.11204,0.21911,0.13436,0.21894,0.046736,1.065688131138218
1880.5,0.18407,152.33,4.6921,0.12451,0.099541,0.069839,0.040821,0.11206,0.22612,0.13438,0.21895,0.046737,1.0729621429551288
1873.2,0.18361,153.66,4.7981,0.12489,0.099737,0.068976,0.039888,0.11203,0.22828,0.13432,0.21887,0.04692,1.0738996866471824
1992.7,0.18347,149.21,4.5801,0.12411,0.099344,0.070907,0.041888,0.1122,0.22628,0.13447,0.21903,0.046406,1.0746311802643336
