param_type,param_name,out_u_bound,in_u_bound,in_l_bound,base,out_l_bound
input,cp_lh_0,1,2.965446305077381,0.9266202239104367,10,0
input,cp_lh_1,1,2.9988040449818767,1.3701243266356573,10,0
input,cp_tau_0,1,2.6764832687364613,0.5040764881824257,10,0
input,cp_n,1,1.2891205180679481,0.13389003398567909,10,0
input,average_strain,1,-0.5414074710239843,-2.325745274741545,10,0
output,average_stress,1,3.422917980767662,1.563326800389584,10,0
output,g14_phi_1,1,0.14891099310935643,0.10629291217565745,10,0
output,g14_Phi,1,0.3540507856107669,0.3317511250244432,10,0
output,g14_phi_2,1,0.6404615603379139,0.6257341909969013,10,0
output,g72_phi_1,1,0.7978835663846707,-1.948037550216953,10,0
output,g72_Phi,1,0.4667638515971662,0.46092789669807765,10,0
output,g72_phi_2,1,0.2965555060882234,0.2267029895852217,10,0
output,g95_phi_1,1,0.2791876784321476,0.23088299885759256,10,0
output,g95_Phi,1,0.3038869217251018,0.2796669440484555,10,0
output,g95_phi_2,1,0.5382720356482111,0.5276685603804574,10,0
output,g101_phi_1,1,0.20690679293086403,0.160498543522346,10,0
output,g101_Phi,1,0.4023129787339999,0.3866772839608377,10,0
output,g101_phi_2,1,0.550998389769781,0.5402293377182826,10,0
output,g207_phi_1,1,0.31739467512027514,0.2963799537713857,10,0
output,g207_Phi,1,0.2810788407289379,0.2521488548185071,10,0
output,g207_phi_2,1,0.5819951437610744,0.5713011255662694,10,0
output,g240_phi_1,1,0.388988785124714,0.3711787318162868,10,0
output,g240_Phi,1,0.3823773034681136,0.3706980925755768,10,0
output,g240_phi_2,1,0.5756496147552193,0.5681430316577019,10,0
output,g262_phi_1,1,0.20822630593558283,0.13871310987601176,10,0
output,g262_Phi,1,0.3996218106717363,0.3781070625097422,10,0
output,g262_phi_2,1,0.6089536992758627,0.5846703844643487,10,0
output,g287_phi_1,1,0.3499764994244727,0.3215984304653438,10,0
output,g287_Phi,1,0.38180074250470286,0.37617532271783327,10,0
output,g287_phi_2,1,0.5694324359249388,0.5531545481696254,10,0
