Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
308.43,304.45,73.351,10.664,0.049267,0.14191,0.11061,0.10732,0.49848,0.041988,0.13628,0.028004,0.22179,1.3356554504142861
308.43,303.99,73.208,10.544,0.049201,0.14184,0.11058,0.10725,0.49912,0.042274,0.13629,0.028044,0.22169,1.3362890724701844
308.9,299.39,73.481,10.592,0.049252,0.1418,0.11062,0.10727,0.49959,0.042044,0.13617,0.028089,0.22175,1.336584375420484
308.55,305.57,73.545,10.577,0.049242,0.14184,0.11058,0.10727,0.49961,0.042216,0.13629,0.02802,0.22171,1.3367847207494452
308.44,306.99,73.403,10.51,0.049193,0.14183,0.11055,0.10722,0.49957,0.042414,0.13634,0.028023,0.22165,1.3367907638604235
308.88,299.09,73.454,10.522,0.049221,0.14176,0.1106,0.10723,0.50021,0.042212,0.13617,0.028112,0.22169,1.3371991043578995
308.47,299.75,73.579,10.517,0.049241,0.14173,0.11059,0.10722,0.50066,0.042242,0.13617,0.028104,0.22169,1.3376575620035118
309.27,294.85,73.229,10.563,0.049219,0.14178,0.11063,0.10725,0.50093,0.042021,0.13609,0.028152,0.22175,1.337819441363355
307.74,307.49,73.085,10.641,0.049244,0.14194,0.11059,0.10732,0.50156,0.042125,0.13637,0.027972,0.22176,1.3388821788501286
308.51,298.44,73.314,10.711,0.049303,0.14188,0.11066,0.10735,0.5025,0.041748,0.13615,0.028059,0.22186,1.3395082333873773
