Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
336.63,0.021787,75.907,9.8063,0.13187,0.11037,0.18795,0.22267,0.039992,0.035449,0.10854,0.051118,0.13973,1.02768455075493
334.06,0.022195,77.514,9.7717,0.13186,0.11034,0.19089,0.22256,0.039953,0.035144,0.10829,0.05113,0.13941,1.0295811095102587
337.35,0.030634,76.341,9.7471,0.1317,0.1104,0.20442,0.22253,0.040196,0.035273,0.10839,0.051107,0.13937,1.0433913227706126
339.51,0.023216,75.864,10.062,0.13182,0.11047,0.21169,0.22284,0.039591,0.035757,0.10876,0.051225,0.14015,1.0523002865220805
334.87,0.019239,76.097,9.742,0.13193,0.11032,0.21337,0.22265,0.040051,0.035337,0.10846,0.051089,0.13964,1.0528439077232488
341.55,0.042771,76.861,7.7404,0.13138,0.11004,0.23047,0.22122,0.045684,0.032838,0.10629,0.049635,0.13477,1.0623406216227538
342.92,0.021729,74.867,9.149,0.1318,0.11029,0.2324,0.22226,0.041551,0.034858,0.10813,0.050761,0.13871,1.0707525216490452
336.08,0.066806,77.675,7.761,0.13137,0.11016,0.24897,0.22114,0.045549,0.032754,0.10612,0.049827,0.13457,1.0804677395440605
332.22,0.022693,75.883,10.19,0.13191,0.11043,0.24069,0.223,0.039217,0.035864,0.1088,0.0513,0.14034,1.081546397078769
339.71,0.022411,75.837,10.199,0.13184,0.11051,0.24726,0.22296,0.039332,0.035931,0.10888,0.051281,0.14041,1.0883997912799723
