Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
10.042,7.9138,109.38,4.8865,0.13394,0.11313,0.038453,0.12448,0.23616,0.078287,0.44626,0.11235,0.13383,1.4168899679904343
9.9713,7.9168,109.42,4.8836,0.13401,0.11294,0.038438,0.12451,0.23617,0.07838,0.44673,0.11234,0.13386,1.4173782626217937
9.9883,7.7516,109.3,4.993,0.13445,0.11407,0.038563,0.12426,0.23621,0.078172,0.4477,0.11246,0.13397,1.4198474850470064
10.244,7.7107,109.61,4.9887,0.13428,0.11497,0.038674,0.12416,0.23619,0.077847,0.45634,0.11249,0.13389,1.428835708777668
10.562,7.5226,108.84,5.0627,0.13408,0.11707,0.038793,0.12394,0.23615,0.077343,0.45542,0.11261,0.13378,1.429187416249657
9.7999,7.3397,110.5,4.8372,0.13475,0.1126,0.038737,0.12451,0.23632,0.078543,0.47257,0.11249,0.13389,1.4443941037566357
12.61,7.7523,109.23,4.867,0.13135,0.12387,0.039041,0.12384,0.23583,0.075507,0.48602,0.11247,0.13284,1.4607679729192817
10.144,8.4587,107.31,5.1137,0.13359,0.1152,0.038148,0.12422,0.23601,0.077986,0.49065,0.11231,0.13398,1.462099147858996
13.141,7.2259,110.1,4.8367,0.13124,0.12845,0.039432,0.1237,0.23585,0.075002,0.51212,0.11258,0.13261,1.4909706265106455
10.197,8.1447,104.49,5.4466,0.13383,0.11972,0.038108,0.12377,0.23594,0.077566,0.51543,0.11257,0.13413,1.4910744742711917
