param_type,param_name,out_l_bound,out_u_bound,in_l_bound,in_u_bound,base
input,cp_lh_0,0,1,1.0018202170383281,2.9970891798613355,10
input,cp_lh_1,0,1,0.055416559840488745,2.9580188816540502,10
input,cp_tau_0,0,1,1.7335342945250085,2.686832818989,10
input,cp_n,0,1,0.020982442918419282,1.2944441801968731,10
input,average_strain,0,1,-2.07727454200674,-0.5413470453420332,10
output,average_stress,0,1,2.3312652916762255,3.4685393229429478,10
output,g14_phi_1,0,1,0.10078396207586707,0.17187265613968286,10
output,g14_Phi,0,1,0.33741932432967314,0.352336906481955,10
output,g14_phi_2,0,1,0.6257341909969013,0.6391177801421083,10
output,g72_phi_1,0,1,-2.8359744757121597,0.7980218789328241,10
output,g72_Phi,0,1,0.46092789669807765,0.4669269056564885,10
output,g72_phi_2,0,1,0.22631629693933475,0.2986566173911455,10
output,g95_phi_1,0,1,0.23090851932076448,0.27786123822511666,10
output,g95_Phi,0,1,0.2793474924107323,0.3076029938260557,10
output,g95_phi_2,0,1,0.5283895735900476,0.5382720356482111,10
output,g101_phi_1,0,1,0.15667027655412638,0.21144093557866933,10
output,g101_Phi,0,1,0.3866772839608377,0.4021753750315051,10
output,g101_phi_2,0,1,0.5402293377182826,0.5516207543641739,10
output,g207_phi_1,0,1,0.2963799537713857,0.3174783139230186,10
output,g207_Phi,0,1,0.25193008503036834,0.28415992039868126,10
output,g207_phi_2,0,1,0.5710329957690407,0.5821202040192963,10
output,g240_phi_1,0,1,0.3711787318162868,0.3890951733541858,10
output,g240_Phi,0,1,0.36938286163519757,0.3823592975193185,10
output,g240_phi_2,0,1,0.5680021375046145,0.5762491824461295,10
output,g262_phi_1,0,1,0.13871310987601176,0.2066909810216323,10
output,g262_Phi,0,1,0.3781070625097422,0.3992928980439108,10
output,g262_phi_2,0,1,0.5846816852406053,0.6088575112050107,10
output,g287_phi_1,0,1,0.31745740573237347,0.3499764994244727,10
output,g287_Phi,0,1,0.37549900801938396,0.3812775721514821,10
output,g287_phi_2,0,1,0.5520473518436178,0.569420731293912,10
