Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
316.64,787.0,87.851,2.4704,0.10671,0.14139,0.043134,0.11861,0.22319,0.11683,0.095216,0.26251,0.096419,1.2040121192219075
316.48,790.09,87.858,2.471,0.10674,0.14139,0.043134,0.11863,0.22319,0.11683,0.095262,0.2625,0.096421,1.2041074956125721
316.48,789.09,87.687,2.4735,0.10667,0.14137,0.043133,0.1186,0.22318,0.11683,0.095163,0.26324,0.096412,1.2045994918062353
316.16,790.06,87.858,2.4707,0.10675,0.1414,0.043136,0.11864,0.22319,0.11683,0.09528,0.26303,0.096421,1.2046738236104255
317.49,803.06,88.142,2.4632,0.10707,0.14147,0.043127,0.1188,0.22324,0.11682,0.095718,0.26255,0.096458,1.2052666417236568
317.29,803.6,88.0,2.4709,0.10692,0.14142,0.043124,0.11875,0.2232,0.11682,0.095503,0.26311,0.096437,1.2052781101845669
317.23,790.16,87.792,2.4748,0.10665,0.14137,0.043127,0.1186,0.22317,0.11683,0.095127,0.26436,0.096411,1.2056417596118867
317.36,810.11,88.134,2.4686,0.10705,0.14144,0.043122,0.11882,0.22321,0.11682,0.095692,0.26314,0.096453,1.2057603436416453
317.4,811.94,88.149,2.4682,0.10708,0.14145,0.043121,0.11884,0.22322,0.11682,0.095735,0.26307,0.096456,1.2057876882345768
317.39,814.05,88.146,2.4685,0.1071,0.14145,0.043121,0.11885,0.22321,0.11682,0.095763,0.26315,0.096457,1.205936204253225
