Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g262),Error (g207),Error (g101),Error (curve),Error (g240),Error (g95),Error (g14),Error (g287),Reduced Error
676.86,523.43,698.07,163.61,45.55,296.2,72.359,16.891,0.10617,0.13273,0.039635,0.04059,0.32356,0.22241,0.16403,0.050001,0.098807,1.1779315046475718
683.93,552.48,662.32,159.49,45.723,285.89,71.387,16.808,0.10619,0.13268,0.039827,0.040904,0.33412,0.22237,0.16373,0.050067,0.098877,1.188756260586083
683.68,551.45,649.31,161.36,46.015,280.77,71.06,16.766,0.10629,0.13279,0.039765,0.040831,0.33539,0.22244,0.16403,0.050035,0.098811,1.1903862706638328
683.78,524.57,643.99,160.08,45.328,280.73,72.391,16.86,0.1064,0.1328,0.039544,0.040467,0.33749,0.22253,0.1643,0.050168,0.098763,1.1924768334340285
677.11,538.66,705.26,142.32,45.504,289.39,72.071,16.861,0.10629,0.13276,0.039672,0.040652,0.33911,0.22242,0.1639,0.05026,0.099028,1.1940869927354896
683.52,548.42,650.76,173.88,46.709,279.35,71.026,16.561,0.10628,0.13281,0.039721,0.040809,0.33999,0.22247,0.16422,0.049789,0.098694,1.1947875792123184
685.38,554.61,641.23,165.61,46.09,283.34,71.128,16.624,0.10625,0.13277,0.039772,0.040761,0.34688,0.22239,0.1639,0.050057,0.09874,1.2015228788124814
683.23,445.98,648.42,160.18,46.736,290.06,73.034,16.873,0.10708,0.13393,0.03851,0.039296,0.34557,0.22296,0.16657,0.050055,0.098294,1.2022727770325654
683.39,550.95,658.84,144.94,44.609,285.45,70.991,16.826,0.10623,0.13265,0.0399,0.040937,0.35359,0.2224,0.16367,0.050314,0.098964,1.2086496157931408
675.54,432.11,656.56,162.27,46.38,281.47,74.242,16.638,0.10717,0.13379,0.038414,0.039187,0.35317,0.22311,0.16681,0.049983,0.098281,1.209923753439332
