param_type,param_name,base,in_l_bound,out_u_bound,out_l_bound,in_u_bound
input,cp_lh_0,10,1.4133332990399112,1,0,2.9865970859088686
input,cp_lh_1,10,1.6974211573941795,1,0,2.9746406263588754
input,cp_lh_2,10,1.1192228869235832,1,0,2.9738387751336317
input,cp_lh_3,10,0.5031639757248005,1,0,2.9933700892458295
input,cp_lh_4,10,1.3322364154914432,1,0,2.99492834279359
input,cp_lh_5,10,0.7128516520990685,1,0,2.984378772732781
input,cp_tau_0,10,1.4317014174634197,1,0,2.698057026961907
input,cp_n,10,0.0853619436861295,1,0,1.2846562827885155
input,average_strain,10,-2.055625915044272,1,0,-0.5414074710239843
output,average_stress,10,2.207742052606945,1,0,3.509901133910907
output,g14_phi_1,10,0.1056123596867853,1,0,0.14242075421955946
output,g14_Phi,10,0.3416125587120018,1,0,0.3555856000611313
output,g14_phi_2,10,0.6257444722246495,1,0,0.6351619279918101
output,g72_phi_1,10,-3.1125908958788764,1,0,0.7976414133811514
output,g72_Phi,10,0.4609128699872859,1,0,0.4681404742606384
output,g72_phi_2,10,0.21848298759364465,1,0,0.2966213199163346
output,g95_phi_1,10,0.23090851932076448,1,0,0.2972351018423056
output,g95_Phi,10,0.2790278056227209,1,0,0.3059529449605069
output,g95_phi_2,10,0.5238374770764902,1,0,0.5382720356482111
output,g101_phi_1,10,0.15573067127858853,1,0,0.20854884177061042
output,g101_Phi,10,0.3866772839608377,1,0,0.402845781655725
output,g101_phi_2,10,0.54024185611511,1,0,0.5533367823768883
output,g207_phi_1,10,0.2963799537713857,1,0,0.32442651014173257
output,g207_Phi,10,0.24814498728777773,1,0,0.28207805457715407
output,g207_phi_2,10,0.5698652856605672,1,0,0.5821088363929191
output,g240_phi_1,10,0.3711972073222944,1,0,0.4002443312381505
output,g240_Phi,10,0.3601388135775749,1,0,0.3823773034681136
output,g240_phi_2,10,0.5666495788178656,1,0,0.5758341852985427
output,g262_phi_1,10,0.1387446639488925,1,0,0.20879058654829866
output,g262_Phi,10,0.3781252456193726,1,0,0.3992063006713076
output,g262_phi_2,10,0.5846816852406053,1,0,0.6083120426973271
output,g287_phi_1,10,0.3178962664929562,1,0,0.3558919131313765
output,g287_Phi,10,0.3724885434930242,1,0,0.3857849588433357
output,g287_phi_2,10,0.5513645945938035,1,0,0.569420731293912
