Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
14.488,959.85,4.3323,980.5,657.84,950.16,70.684,8.603,0.11594,0.35854,0.047034,0.14101,0.21894,0.10506,0.11522,0.065033,0.066813,1.2335808551110599
14.488,959.85,4.3323,980.5,657.84,919.26,70.684,8.603,0.11607,0.36018,0.047173,0.14108,0.21888,0.1048,0.11492,0.064598,0.066414,1.2341184800051896
15.177,954.5,4.3799,982.87,658.37,918.25,73.42,8.665,0.11615,0.36841,0.047213,0.14077,0.21851,0.10483,0.1149,0.06456,0.067066,1.242419854181706
14.705,953.16,4.404,982.87,655.79,922.35,73.421,8.7036,0.11608,0.36903,0.047238,0.14075,0.21857,0.10484,0.11498,0.064514,0.066975,1.2429772882014156
15.206,963.05,4.3059,980.5,582.04,921.51,70.809,8.9136,0.117,0.37748,0.047656,0.14164,0.21889,0.10486,0.11397,0.063307,0.065792,1.250602149020659
14.488,959.85,4.3323,980.2,657.84,919.26,70.684,8.4465,0.1162,0.38088,0.0473,0.14122,0.21893,0.10483,0.11475,0.064421,0.066186,1.254711008941723
14.659,954.45,4.371,982.59,655.31,918.01,70.862,8.7922,0.116,0.39048,0.047166,0.14099,0.21882,0.10478,0.11494,0.064548,0.066507,1.264219111764646
15.045,964.05,4.4897,972.35,658.73,918.06,73.374,8.5815,0.11611,0.39314,0.04721,0.14076,0.21862,0.10486,0.11507,0.064703,0.067159,1.2676375194965865
14.663,974.97,4.289,851.39,659.49,918.24,69.499,8.4333,0.11735,0.40679,0.048436,0.14262,0.21993,0.10523,0.11328,0.060579,0.062639,1.276859595350578
15.172,967.58,4.5392,984.61,659.54,918.41,73.14,8.9952,0.11564,0.41378,0.046657,0.14033,0.21844,0.10473,0.11575,0.065676,0.068302,1.2892985824926193
