iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,993.9967672936566,847.9801693058996,701.3923489725693,26.432566995723874,573.2367489702397,973.9540566087137,143.8066172065448,14.142442585654662,1.1403761240117951,0.09266082736293883,1.169870981423388
2,538.3778167986175,974.1847433749612,231.44525688347352,69.51550993920854,952.7033284270376,629.9198634027375,21.421465610906615,9.286056900699156,0.29329385029924204,0.0979250593419642,0.3244643647929236
3,928.7874189944675,403.90941559253923,394.8278435628041,926.0561221184469,157.9088279397279,573.1888215292877,98.24406929913287,4.336984612821533,0.27345321375878284,0.09692055995864651,0.30430398616808885
4,383.57184631450696,694.3729567637591,775.4637018727683,662.5693606507784,436.34353928657913,868.5765751227678,255.53887254995217,1.2534230138301936,0.6409241353470139,0.12067570457527543,0.6793364051355185
5,17.466790797316417,554.5645442570499,653.4539414800206,854.8381951713048,215.7059538526771,522.5482710164636,53.81159823601482,13.976717697266478,0.10237657025640544,0.1786811927727674,0.15925256039108898
6,465.73916924166684,315.057959715831,865.990043898747,983.7050225932428,739.0476900728446,759.2521867049531,341.51688663766157,5.735812811284316,2.3756938045965157,0.09332958470084038,2.405401534080221
7,587.7538048634585,889.2006501309223,34.661460643896234,462.6047206819182,309.85187364129985,322.2135406700056,384.6313161275096,7.849964641047709,2.3016803111494037,0.09166917570137764,2.3308595160334713
8,818.8252141401136,758.0053447632006,604.832690107231,430.3139193743757,22.488117076348978,915.4033836977045,310.95403335442154,3.2513143870197143,1.599064561246534,0.09819757163660521,1.6303218190977065
9,670.7965973328887,97.08541449201606,896.0561494446765,693.1559845594701,658.6887799301945,414.1345522010987,361.25257631479997,17.686503089407356,2.607568173225876,0.1622985691028707,2.659229412284803
10,286.5421028227961,126.93655952231097,174.97477646093876,166.28825924006475,492.3726684866615,103.08397394209837,411.1382374461855,17.477957845217908,2.4830303839920553,0.16055037687327467,2.534135156181352
11,724.2898949728564,588.4521033108559,454.6011624488741,353.76355322595407,901.8552015868839,136.34279444025958,240.28998462124866,11.158017506707333,1.6676262427451298,0.24013773957269308,1.7440644592969465
12,323.8515622074568,37.452564511771236,338.1211841872361,585.1457690188611,68.36936649659117,273.75869320426995,465.5233192021666,19.674721228973443,2.6980454871332276,0.18014181502125867,2.7553864077695858
13,218.60404623824016,461.2928697628559,514.5219064899817,795.1462706227431,329.2295376360348,57.22894901512772,195.3291272772048,15.419148291889524,1.0054499183044134,0.16346580539452443,1.0574827002144862
14,93.06118194669655,203.36899343251343,265.715168155575,255.7332490031703,867.942294345967,749.9917888658392,89.31308581092891,5.831837014542729,0.37876133150446073,0.09576619824114113,0.4092446591668527
15,132.9964331013964,278.02784685001734,124.37771704356939,502.6811203772795,550.2756357829431,192.48026673198052,488.594014892343,12.238586017637589,3.078605847607991,0.16573997495153667,3.131362520170919
16,755.6834392456512,657.6494810830252,947.96579830246,228.460210350213,767.5623955531571,453.9228256036905,159.27786182447565,9.70115921925196,1.2509893343037157,0.09243175594244432,1.280411276017523
17,4.1329,580.43,667.33,860.35,230.43,631.12,87.188,8.8923,0.2959804124376745,0.09242307749104592,0.325399591714605
18,74.206,479.04,668.56,863.01,1.7036e-05,737.34,0.55188,11.36,0.5772692302180827,0.24559045506935961,0.6554431000190359
19,0.42122,570.13,652.95,874.27,220.4,971.13,72.995,8.5866,0.2491860846765344,0.09328106495623753,0.2788783698458571
20,0.018303,502.04,624.71,865.92,146.46,293.94,70.326,12.262,0.047832238133587626,0.1778430952733288,0.10444145354861396
21,0.018425,501.83,620.35,857.29,238.47,219.21,70.882,12.334,0.08437175500342252,0.14938670581062946,0.1319230203273754
22,0.0048024,581.96,647.24,921.22,224.15,286.25,65.809,11.736,0.08881938015557164,0.22449867766852033,0.16027952869264986
23,0.0020493,493.78,622.77,977.67,535.14,471.67,53.371,10.583,0.22882164761555848,0.17125502146605434,0.2833338140068209
24,0.056463,414.39,629.68,753.41,148.77,360.73,68.136,11.344,0.03507694450898763,0.17200436829961943,0.0898276354055543
25,0.26041,727.8,498.31,764.11,176.99,384.31,60.504,9.4303,0.06013957946134236,0.18624165366583026,0.11942213904239375
26,88.37,195.7,6.9274,770.22,3.4951,508.57,30.042,11.809,0.5907719850583797,0.099923693838672,0.6225786846712313
27,139.8,12.018,631.85,839.23,124.51,460.44,25.597,7.6208,0.3756069913134713,0.0965226240686573,0.4063310967949264
28,0.13756,515.3,630.67,769.7,243.85,542.87,72.907,11.856,0.17136566344528464,0.09335468939224342,0.20108138400045278
29,168.58,0.8495,517.6,765.99,595.6,141.37,49.398,11.373,0.10104065471577153,0.15431610533485535,0.1501609966412352
30,0.04965,408.48,625.04,763.14,147.67,372.02,69.565,11.294,0.03609414802443637,0.16237044534030598,0.08777826600032057
31,147.18,417.17,280.47,774.24,157.46,862.79,90.72,1.5993,0.16626087375979312,0.11382098856524522,0.20249121967532285
32,13.597,412.12,79.272,761.65,127.35,567.88,72.657,10.475,0.1289520782714848,0.09511700407839334,0.15922876101382133
33,0.2089,411.65,627.63,765.11,169.85,306.73,67.931,10.085,0.03681494060078285,0.21004072702133494,0.10367298051290463
34,0.85443,395.57,449.42,851.65,328.57,884.55,68.173,6.6122,0.14595375655740606,0.09399012964884328,0.17587174402832909
35,1.1596,413.05,3.4447,791.92,1.7255,555.6,78.039,10.687,0.21605872566323256,0.09611136733410393,0.2466519240603197
36,0.027842,408.01,612.32,786.1,152.51,373.75,69.998,11.078,0.03458982346502962,0.1717274004025533,0.08925235274180461
