Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
446.89,162.69,7.1188,172.02,393.98,0.19555,70.581,6.2708,0.22292,0.12718,0.073053,0.35764,0.051172,0.13553,0.085626,0.1223,0.13862,1.3140380455389713
441.52,159.61,7.1189,172.48,394.01,0.19481,70.581,6.2784,0.223,0.12724,0.072902,0.36847,0.051275,0.1355,0.085471,0.12229,0.13861,1.324763044278066
446.8,164.97,7.2985,169.32,393.94,0.19097,72.894,6.1878,0.22269,0.12665,0.073645,0.37098,0.050866,0.13594,0.08623,0.12254,0.13889,1.328429037045848
446.91,169.58,7.2172,172.21,393.26,0.18771,70.361,6.2838,0.22279,0.12704,0.073431,0.39156,0.051033,0.13575,0.085685,0.12238,0.13862,1.348280341261473
442.44,169.97,7.2801,171.74,394.01,0.19742,70.523,6.2669,0.22291,0.12709,0.072906,0.40044,0.05112,0.13549,0.085286,0.12224,0.13847,1.3559586377685133
443.26,172.45,7.0272,171.74,394.07,0.19445,70.64,6.232,0.22289,0.12709,0.073201,0.4029,0.051123,0.1358,0.085762,0.12229,0.13854,1.3595935313256096
443.23,172.35,7.3822,171.75,394.0,0.19613,66.202,6.2221,0.22311,0.12744,0.07249,0.40755,0.05122,0.1354,0.084944,0.12198,0.13829,1.3624186161572087
442.43,180.01,7.8625,170.97,394.02,0.20293,70.155,6.2809,0.22281,0.12689,0.072588,0.43094,0.050908,0.13514,0.084548,0.12214,0.13824,1.384209031485883
447.14,166.06,10.977,172.04,394.0,0.19553,69.853,6.9086,0.22247,0.12696,0.071551,0.44247,0.050585,0.13302,0.080484,0.12213,0.1375,1.387172688551499
446.98,173.29,8.6628,172.06,393.97,0.1999,70.452,6.2707,0.2226,0.12652,0.072864,0.44832,0.050566,0.13488,0.084452,0.12226,0.13856,1.4010203529945118
