Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
3.2214,11.673,814.07,672.59,368.19,948.0,30.088,5.6003,1.5219,0.13468,0.047973,0.12365,0.10955,0.1048,0.043821,0.22833,0.065785,2.380474445400569
4.2542,10.328,814.07,685.91,368.18,947.38,29.617,5.6378,1.5407,0.13509,0.048199,0.12427,0.10888,0.10469,0.043367,0.22839,0.064905,2.398464665163131
4.2645,10.268,827.86,682.34,368.15,922.98,29.629,5.6727,1.5458,0.13527,0.048406,0.12458,0.10859,0.10467,0.043067,0.22849,0.06422,2.403101883807268
3.9799,11.214,827.86,662.69,368.17,940.82,29.607,5.4052,1.5524,0.1349,0.048006,0.12375,0.10919,0.10426,0.044157,0.22834,0.066042,2.411019307044728
4.1148,11.13,827.86,662.29,368.14,932.93,29.403,5.5529,1.5588,0.13512,0.04826,0.12424,0.10884,0.10442,0.043445,0.22837,0.064911,2.4164397983688555
5.9569,8.5505,813.85,694.01,368.17,986.59,28.05,5.5809,1.605,0.13548,0.048338,0.12479,0.10834,0.10431,0.04339,0.22843,0.064835,2.4629086779063063
1.1989,11.197,814.0,649.29,368.63,934.56,29.116,4.9313,1.6172,0.13376,0.047833,0.12141,0.11127,0.10457,0.047465,0.22871,0.070752,2.4829392343478123
1.9529,11.701,814.35,676.62,368.5,960.86,28.446,5.3836,1.6245,0.13422,0.047735,0.12278,0.11064,0.10497,0.045341,0.22845,0.068147,2.48683172827958
1.1825,11.154,814.0,605.13,368.67,934.8,29.115,4.9265,1.6445,0.13387,0.048281,0.12158,0.11088,0.10474,0.046956,0.22876,0.069944,2.5094699098960045
1.8246,10.405,813.65,647.01,368.89,933.95,30.945,4.9052,1.6797,0.13402,0.047844,0.1216,0.11065,0.10446,0.047097,0.22862,0.070132,2.544106336235111
