param_type,param_name,out_l_bound,in_u_bound,base,in_l_bound,out_u_bound
input,cp_lh_0,0,2.9736403881467086,10,-5.151090736378136,1
input,cp_lh_1,0,2.991128570067965,10,-7.384481302289791,1
input,cp_lh_2,0,2.9826013523036545,10,1.5222746560111187,1
input,cp_lh_3,0,2.988170861348887,10,0.9004436014546183,1
input,cp_lh_4,0,2.999082670519886,10,1.7382651224203292,1
input,cp_lh_5,0,2.998281139808302,10,1.7608143779602505,1
input,cp_tau_0,0,2.6779444034305926,10,0.8473998940232866,1
input,cp_n,0,1.2914132545702148,10,0.06599028923377602,1
input,average_strain,0,-0.5414376870180063,10,-2.0618857388428875,1
output,average_stress,0,3.5497509785395263,10,1.7830026272279393,1
output,g14_phi_1,0,0.16025838620266938,10,0.10472604410997456,1
output,g14_Phi,0,0.35795389458633886,10,0.33885474625232304,1
output,g14_phi_2,0,0.6385491555109564,10,0.6257341909969013,1
output,g72_phi_1,0,0.7981255844442661,10,-2.785606568744794,1
output,g72_Phi,0,0.4682439146521964,10,0.46059718889760143,1
output,g72_phi_2,0,0.29668712377240175,10,0.22417035168918187,1
output,g95_phi_1,0,0.2903463006539326,10,0.23090851932076448,1
output,g95_Phi,0,0.30655368833726104,10,0.2791648430622707,1
output,g95_phi_2,0,0.5382720356482111,10,0.5280292166129851,1
output,g101_phi_1,0,0.2097294280162052,10,0.15651886474702734,1
output,g101_Phi,0,0.402072143635273,10,0.3866772839608377,1
output,g101_phi_2,0,0.5523639817866844,10,0.5402293377182826,1
output,g207_phi_1,0,0.3218468826928883,10,0.2963580047413908,1
output,g207_Phi,0,0.2828712453352053,10,0.24973630456883328,1
output,g207_phi_2,0,0.5821202040192963,10,0.5707880369475653,1
output,g240_phi_1,0,0.39213393975426714,10,0.36675905512633017,1
output,g240_Phi,0,0.3823592975193185,10,0.3646635408947658,1
output,g240_phi_2,0,0.5769514680626441,10,0.5661781344794473,1
output,g262_phi_1,0,0.20663701128353584,10,0.13871310987601176,1
output,g262_Phi,0,0.3998985966484602,10,0.3781070625097422,1
output,g262_phi_2,0,0.6077444564022576,10,0.5846816852406053,1
output,g287_phi_1,0,0.3569814009931312,10,0.31641071072580934,1
output,g287_Phi,0,0.38187285449854275,10,0.3754807146185724,1
output,g287_phi_2,0,0.569420731293912,10,0.5519986190490085,1
