param_type,param_name,out_l_bound,in_u_bound,out_u_bound,base,in_l_bound
input,cp_tau_s,0,3.59286486307962,1,10,-3.2557461442688456
input,cp_b,0,0.9949503120313088,1,10,-4.840041997321481
input,cp_tau_0,0,2.6770591773921613,1,10,-0.0061274896904746036
input,cp_n,0,1.293340452648696,1,10,0.017784353096678394
input,average_strain,0,-0.5410148542889871,1,10,-2.3746875490383257
output,average_stress,0,3.963551733574096,1,10,0.8456064872320819
output,g39_phi_1,0,-0.1814442207021974,1,10,-0.25797438670248374
output,g39_Phi,0,0.2790734895739441,1,10,0.2692793897718986
output,g39_phi_2,0,0.4470494441477784,1,10,0.43208698577808313
output,g50_phi_1,0,0.2873537727147465,1,10,0.16238515585724125
output,g50_Phi,0,0.3447458537251875,1,10,0.33593906903172943
output,g50_phi_2,0,0.515052144364414,1,10,0.5032594025908621
output,g138_phi_1,0,-0.3228129465527651,1,10,-2.279658744646039
output,g138_Phi,0,0.43120288455651656,1,10,0.42069820290880705
output,g138_phi_2,0,0.3662174359460962,1,10,0.31152076244804877
output,g164_phi_1,0,-0.44114748830154266,1,10,-0.7613768946152996
output,g164_Phi,0,0.3835640485366948,1,10,0.36116099519502604
output,g164_phi_2,0,0.5375546614224026,1,10,0.5281193338930464
output,g185_phi_1,0,-0.10630480158413697,1,10,-0.35260724858827935
output,g185_Phi,0,0.3893078716599163,1,10,0.3617278360175928
output,g185_phi_2,0,0.46157355390282223,1,10,0.43336974685658586
output,g223_phi_1,0,0.6701530451921801,1,10,0.6199068703249627
output,g223_Phi,0,0.4756857129806041,1,10,0.44566646325247317
output,g223_phi_2,0,0.7981394099749288,1,10,-2.432185792497248
output,g243_phi_1,0,0.3907938501556699,1,10,0.3741432107800257
output,g243_Phi,0,0.35264551866897115,1,10,0.3422252293607903
output,g243_phi_2,0,0.582290682718994,1,10,0.572604440549203
output,g238_phi_1,0,-0.08437858865727006,1,10,-0.12250195539039176
output,g238_Phi,0,0.3096727432292663,1,10,0.277219434894438
output,g238_phi_2,0,0.5391012017945409,1,10,0.5270366903931603
