Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
951.98,0.43545,153.66,3.4038,0.014622,0.014621556509668687
951.98,0.43545,153.66,3.4038,0.014622,0.014621556544877833
951.98,0.43545,153.66,3.4038,0.014622,0.01462155655635644
951.98,0.43545,153.66,3.4038,0.014622,0.01462155660162529
951.98,0.43545,153.66,3.4038,0.014622,0.014621556623199828
951.98,0.43545,153.66,3.4038,0.014622,0.01462155662962253
951.98,0.43545,153.66,3.4038,0.014622,0.014621556652979826
951.98,0.43545,153.66,3.4038,0.014622,0.014621556680381972
951.98,0.43545,153.66,3.4038,0.014622,0.014621556689898991
951.98,0.43545,153.66,3.4038,0.014622,0.014621556696942296
