Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
248.91,0.06634,103.38,12.442,0.14972,0.54125,0.4204,0.4867,0.06758,0.18122,0.16751,0.080019,0.12129,2.215677318397835
270.21,0.072116,110.84,14.013,0.14983,0.51264,0.4681,0.46941,0.066261,0.17892,0.17321,0.077449,0.12088,2.2167024205819756
245.34,0.070653,103.29,12.562,0.14991,0.54566,0.4382,0.48772,0.067777,0.1813,0.16773,0.080055,0.12127,2.2396198971573518
243.49,0.065319,101.11,12.091,0.14983,0.54959,0.44349,0.48196,0.067934,0.18178,0.16613,0.080816,0.12145,2.2429785435010223
243.65,0.065407,99.493,12.507,0.15009,0.54926,0.45558,0.47499,0.067766,0.18146,0.16712,0.08064,0.12159,2.248499852606361
252.21,0.065075,113.98,12.092,0.14826,0.52141,0.46617,0.49981,0.067449,0.18113,0.16794,0.07834,0.12034,2.250847321267563
245.06,0.066657,101.09,11.988,0.14998,0.5516,0.45031,0.483,0.067968,0.18181,0.16583,0.081067,0.12149,2.253061046807939
242.67,0.064149,98.167,12.231,0.15019,0.55355,0.45908,0.47217,0.067911,0.18176,0.16617,0.081213,0.12172,2.2537664159329425
252.26,0.065608,103.24,12.28,0.1498,0.54152,0.46033,0.48617,0.067522,0.18121,0.16707,0.08028,0.12137,2.255270114508117
241.01,0.065406,100.19,11.856,0.14991,0.55446,0.45706,0.48154,0.068148,0.18211,0.16529,0.081328,0.12151,2.261354655147417
