param_type,param_name,out_u_bound,out_l_bound,in_u_bound,in_l_bound,base
input,cp_tau_s,1,0,3.6017124166940406,2.396042344810998,10
input,cp_b,1,0,0.9951476762131514,-3.052698645359676,10
input,cp_tau_0,1,0,2.6951254174839323,-1.0426944776482732,10
input,cp_n,1,0,1.2951729378922279,0.5122534016514596,10
input,average_strain,1,0,-0.5449113939590478,-5.4236932104119076,10
output,average_stress,1,0,3.870111155364401,-0.5839922595507111,10
output,g39_phi_1,1,0,-0.1888071805395725,-0.28364602163632685,10
output,g39_Phi,1,0,0.2791648430622707,0.27107452747590083,10
output,g39_phi_2,1,0,0.4470494441477784,0.43306543399147984,10
output,g50_phi_1,1,0,0.27630092457077343,0.16447182427768978,10
output,g50_Phi,1,0,0.34228447422574865,0.3361393986085567,10
output,g50_phi_2,1,0,0.5143219139450625,0.5027001753105627,10
output,g138_phi_1,1,0,-0.3315395327164079,-2.2977332165486684,10
output,g138_Phi,1,0,0.42968769609539575,0.4206652318731168,10
output,g138_phi_2,1,0,0.3631793500586859,0.31152076244804877,10
output,g164_phi_1,1,0,-0.48770258633982644,-0.7385705844405532,10
output,g164_Phi,1,0,0.3816925520581637,0.36114208775333284,10
output,g164_phi_2,1,0,0.5367856302506991,0.5279390806294632,10
output,g185_phi_1,1,0,-0.12259409626259743,-0.3529301477662135,10
output,g185_Phi,1,0,0.38932559181749277,0.3644384206399265,10
output,g185_phi_2,1,0,0.4575185717139984,0.4333377239630525,10
output,g223_phi_1,1,0,0.6703200851026617,0.6235697228466338,10
output,g223_Phi,1,0,0.4757002371510284,0.4520932490177314,10
output,g223_phi_2,1,0,0.7981601474457172,-10,10
output,g243_phi_1,1,0,0.3909351071033791,0.3741248601797271,10
output,g243_Phi,1,0,0.35260695413652093,0.3466463175768897,10
output,g243_phi_2,1,0,0.5823020455866155,0.5763528698005443,10
output,g238_phi_1,1,0,-0.0826047847915839,-0.11657138637613193,10
output,g238_Phi,1,0,0.3066823110190551,0.27925617733850705,10
output,g238_phi_2,1,0,0.5342292372487546,0.5262229329282195,10
